"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.D.F._Z._T._X.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.D.F._Z._T._X.N_FLAGS
"",IIP - Direct investment - Assets - Positions - all countries - all sectors - all currencies,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:13,
1999-10,458290,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,590738,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,710710,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,691453,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,696648,
2004-01,698681,
2004-04,710677,
2004-07,713208,
2004-10,721306,
2005-01,748731,
2005-04,781443,
2005-07,801299,
2005-10,844890,
2006-01,869503,
2006-04,873862,
2006-07,910610,
2006-10,938463,
2007-01,977813,
2007-04,1015956,
2007-07,1028054,
2007-10,1049715,
2008-01,1045182,
2008-04,1063605,
2008-07,1081316,
2008-10,1048784,
2009-01,1059391,
2009-04,1077155,
2009-07,1084672,
2009-10,1114315,
2010-01,1170610,
2010-04,1231721,
2010-07,1205807,
2010-10,1223561,
2011-01,1237682,
2011-04,1252728,
2011-07,1282269,
2011-10,1310912,
2012-01,1339932,
2012-04,1366254,
2012-07,1379295,
2012-10,1447581,
2013-01,1480581,
2013-04,1495666,
2013-07,1500645,
2013-10,1498779,
2014-01,1525179,
2014-04,1557222,
2014-07,1605723,
