"",BBK01.OEAE12H,BBK01.OEAE12H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:07,
2002-01,3.884,
2002-04,4.116,
2002-07,3.776,
2002-10,2.632,
2003-01,1.899,
2003-04,2.004,
2003-07,2.092,
2003-10,1.729,
2004-01,1.542,
2004-04,1.774,
2004-07,1.544,
2004-10,1.208,
2005-01,0.974,
2005-04,1.223,
2005-07,0.842,
2005-10,0.970,
2006-01,0.979,
2006-04,0.918,
2006-07,0.830,
2006-10,0.761,
2007-01,0.813,
2007-04,0.773,
2007-07,2.677,
2007-10,2.263,
2008-01,2.400,
2008-04,3.117,
2008-07,2.104,
2008-10,2.638,
2009-01,2.467,
2009-04,2.212,
2009-07,1.418,
2009-10,1.310,
2010-01,1.361,
2010-04,1.230,
2010-07,1.542,
2010-10,1.361,
2011-01,1.509,
2011-04,1.596,
2011-07,1.376,
2011-10,1.380,
2012-01,1.478,
2012-04,1.553,
2012-07,1.275,
2012-10,1.231,
2013-01,1.242,
2013-04,1.096,
2013-07,1.080,
2013-10,0.896,
2014-01,0.843,
2014-04,0.979,
2014-07,0.840,
