"",BBK01.OEAC21L,BBK01.OEAC21L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:54,
2002-01,0.319,
2002-04,0.324,
2002-07,0.329,
2002-10,0.282,
2003-01,0.309,
2003-04,0.286,
2003-07,0.264,
2003-10,0.230,
2004-01,0.233,
2004-04,0.243,
2004-07,0.230,
2004-10,0.225,
2005-01,0.207,
2005-04,0.205,
2005-07,0.202,
2005-10,0.164,
2006-01,0.185,
2006-04,0.192,
2006-07,0.193,
2006-10,0.149,
2007-01,0.167,
2007-04,0.195,
2007-07,0.195,
2007-10,0.154,
2008-01,0.170,
2008-04,0.184,
2008-07,0.200,
2008-10,0.172,
2009-01,0.205,
2009-04,0.164,
2009-07,0.165,
2009-10,0.132,
2010-01,0.146,
2010-04,0.153,
2010-07,0.142,
2010-10,0.116,
2011-01,0.127,
2011-04,0.145,
2011-07,0.138,
2011-10,0.128,
2012-01,0.140,
2012-04,0.145,
2012-07,0.142,
2012-10,0.122,
2013-01,0.138,
2013-04,0.152,
2013-07,0.147,
2013-10,0.137,
2014-01,0.149,
2014-04,0.146,
2014-07,0.137,
