"",BBK01.OEYJ05O,BBK01.OEYJ05O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:58,
2002-01,5.232,
2002-04,5.458,
2002-07,5.398,
2002-10,5.617,
2003-01,5.819,
2003-04,5.776,
2003-07,6.521,
2003-10,6.694,
2004-01,7.539,
2004-04,8.049,
2004-07,8.517,
2004-10,8.925,
2005-01,9.356,
2005-04,9.242,
2005-07,9.492,
2005-10,9.846,
2006-01,10.180,
2006-04,10.203,
2006-07,10.429,
2006-10,10.695,
2007-01,10.881,
2007-04,11.019,
2007-07,11.104,
2007-10,11.457,
2008-01,11.873,
2008-04,11.975,
2008-07,7.815,
2008-10,8.065,
2009-01,9.040,
2009-04,9.079,
2009-07,9.241,
2009-10,9.662,
2010-01,9.620,
2010-04,9.471,
2010-07,9.385,
2010-10,9.153,
2011-01,8.880,
2011-04,8.786,
2011-07,8.785,
2011-10,8.419,
2012-01,8.225,
2012-04,7.817,
2012-07,7.770,
2012-10,7.583,
2013-01,7.452,
2013-04,7.005,
2013-07,6.631,
2013-10,6.591,
2014-01,6.371,
2014-04,6.295,
2014-07,5.976,
