"",BBK01.BJ9195,BBK01.BJ9195_FLAGS
"",National accounts - general government revenue (ESA 2010) - Germany as a whole -  memo item: total burden of taxes and social security contributions,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:58,
1991,612068,
1992,669564,
1993,697405,
1994,739143,
1995,767775,
1996,786235,
1997,801445,
1998,825705,
1999,862434,
2000,879231,
2001,862324,
2002,863701,
2003,875568,
2004,875320,
2005,886614,
2006,928407,
2007,975702,
2008,1003085,
2009,974086,
2010,986534,
2011,1045783,Provisional value
2012,1082889,Provisional value
2013,1112156,Provisional value
2014,1148395,Provisional value
"",General: For Germany as a whole,
"",Methodology: Taxes and social contributions plus import duties and EU share in VAT revenue.,
