"",BBK01.OEAG02M,BBK01.OEAG02M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:23,
2002-01,3.810,
2002-04,2.033,
2002-07,2.025,
2002-10,2.025,
2003-01,2.332,
2003-04,3.625,
2003-07,3.826,
2003-10,3.640,
2004-01,3.270,
2004-04,3.310,
2004-07,3.022,
2004-10,2.670,
2005-01,2.658,
2005-04,2.455,
2005-07,2.282,
2005-10,1.949,
2006-01,1.782,
2006-04,1.772,
2006-07,0.637,
2006-10,0.580,
2007-01,0.585,
2007-04,0.585,
2007-07,0.520,
2007-10,0.388,
2008-01,0.457,
2008-04,0.224,
2008-07,0.221,
2008-10,0.214,
2009-01,0.237,
2009-04,0.233,
2009-07,0.244,
2009-10,0.298,
2010-01,0.298,
2010-04,0.266,
2010-07,0.205,
2010-10,0.542,
2011-01,0.499,
2011-04,0.473,
2011-07,0.681,
2011-10,0.731,
2012-01,0.670,
2012-04,0.712,
2012-07,0.834,
2012-10,0.826,
2013-01,0.828,
2013-04,1.043,
2013-07,0.894,
2013-10,0.871,
2014-01,0.855,
2014-04,0.844,
2014-07,0.878,
