"",BBK01.OEAK02Q,BBK01.OEAK02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:07:14,
2002-01,2.176,
2002-04,2.149,
2002-07,2.130,
2002-10,2.293,
2003-01,2.205,
2003-04,2.275,
2003-07,2.610,
2003-10,2.746,
2004-01,2.579,
2004-04,2.311,
2004-07,2.344,
2004-10,2.480,
2005-01,2.405,
2005-04,2.531,
2005-07,2.656,
2005-10,2.931,
2006-01,2.663,
2006-04,2.780,
2006-07,2.776,
2006-10,3.071,
2007-01,3.026,
2007-04,3.389,
2007-07,3.309,
2007-10,3.499,
2008-01,3.310,
2008-04,3.310,
2008-07,3.404,
2008-10,3.730,
2009-01,3.897,
2009-04,3.969,
2009-07,4.020,
2009-10,4.259,
2010-01,4.238,
2010-04,4.392,
2010-07,4.508,
2010-10,4.646,
2011-01,4.470,
2011-04,4.527,
2011-07,4.755,
2011-10,4.972,
2012-01,4.806,
2012-04,4.838,
2012-07,5.155,
2012-10,5.356,
2013-01,5.208,
2013-04,5.383,
2013-07,5.652,
2013-10,6.020,
2014-01,5.912,
2014-04,5.952,
2014-07,6.192,
