"",BBK01.WXI044,BBK01.WXI044_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:41:37,
2009-09,4548,
2009-10,4427,
2009-11,4338,
2009-12,4251,
2010-01,3983,
2010-02,4108,
2010-03,4178,
2010-04,3792,
2010-05,3673,
2010-06,3675,
2010-07,3835,
2010-08,3589,
2010-09,3978,
2010-10,4060,
2010-11,3911,
2010-12,3783,
2011-01,3860,
2011-02,3733,
2011-03,4080,
2011-04,4353,
2011-05,4023,
2011-06,4250,
2011-07,3766,
2011-08,3784,
2011-09,3731,
2011-10,3615,
2011-11,3481,
2011-12,3627,
2012-01,3654,
2012-02,3644,
2012-03,3612,
2012-04,3726,
2012-05,3570,
2012-06,3485,
2012-07,3896,
2012-08,3545,
2012-09,3877,
2012-10,3688,
2012-11,3869,
2012-12,3989,
2013-01,4397,
2013-02,4244,
2013-03,3744,
2013-04,4430,
2013-05,4470,
2013-06,4220,
2013-07,4219,
2013-08,4085,
2013-09,4195,
2013-10,4033,
2013-11,4120,
2013-12,4008,
2014-01,4107,
2014-02,4040,
2014-03,4293,
2014-04,4164,
2014-05,4197,
2014-06,4231,
2014-07,4438,
2014-08,4469,
2014-09,4641,
2014-10,4403,
2014-11,4359,
