"",BBK01.OELJ07Q,BBK01.OELJ07Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:00,
2002-01,0.530,
2002-04,0.506,
2002-07,0.623,
2002-10,0.620,
2003-01,0.551,
2003-04,0.549,
2003-07,0.660,
2003-10,0.663,
2004-01,0.662,
2004-04,0.659,
2004-07,0.660,
2004-10,0.535,
2005-01,0.530,
2005-04,0.529,
2005-07,0.513,
2005-10,0.288,
2006-01,0.280,
2006-04,0.277,
2006-07,0.277,
2006-10,0.274,
2007-01,0.284,
2007-04,0.285,
2007-07,0.119,
2007-10,0.112,
2008-01,0.110,
2008-04,0.115,
2008-07,0.111,
2008-10,0.091,
2009-01,0.094,
2009-04,0.103,
2009-07,0.106,
2009-10,0.124,
2010-01,0.169,
2010-04,0.172,
2010-07,0.185,
2010-10,0.188,
2011-01,0.143,
2011-04,0.127,
2011-07,0.120,
2011-10,0.114,
2012-01,0.116,
2012-04,0.118,
2012-07,0.148,
2012-10,0.157,
2013-01,0.175,
2013-04,0.182,
2013-07,0.189,
2013-10,0.208,
2014-01,0.212,
2014-04,0.213,
2014-07,0.221,
