"",BBFN1.M.DE.N.1.A.B0.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.B0.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / EU member states,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:53,
1994-07,.,No value available
1994-08,.,No value available
1994-09,.,No value available
1994-10,.,No value available
1994-11,.,No value available
1994-12,.,No value available
1995-01,38.445,
1995-02,38.741,
1995-03,40.016,
1995-04,39.949,
1995-05,40.243,
1995-06,40.530,
1995-07,38.854,
1995-08,37.909,
1995-09,39.035,
1995-10,38.914,
1995-11,40.066,
1995-12,36.500,
1996-01,36.222,
1996-02,36.764,
1996-03,38.028,
1996-04,37.645,
1996-05,37.516,
1996-06,37.856,
1996-07,36.991,
1996-08,35.374,
1996-09,36.956,
1996-10,37.587,
1996-11,39.038,
1996-12,37.458,
1997-01,37.393,
1997-02,37.873,
1997-03,39.468,
1997-04,40.315,
1997-05,39.935,
1997-06,41.083,
1997-07,40.086,
1997-08,38.170,
1997-09,40.507,
1997-10,42.244,
1997-11,43.605,
1997-12,41.005,
1998-01,41.249,
1998-02,42.810,
1998-03,44.378,
1998-04,44.926,
1998-05,45.172,
1998-06,45.512,
1998-07,44.450,
1998-08,42.247,
1998-09,43.867,
1998-10,44.855,
1998-11,45.096,
1998-12,42.911,
1999-01,42.424,
1999-02,43.541,
1999-03,45.584,
1999-04,45.237,
1999-05,45.580,
1999-06,47.064,
1999-07,45.772,
1999-08,44.845,
1999-09,47.275,
1999-10,49.072,
1999-11,50.331,
1999-12,48.500,
2000-01,48.710,
2000-02,50.993,
2000-03,53.654,
2000-04,53.556,
2000-05,54.704,
2000-06,55.228,
2000-07,53.896,
2000-08,53.352,
2000-09,55.576,
2000-10,57.033,
2000-11,58.615,
2000-12,55.718,
2001-01,56.382,
2001-02,56.992,
2001-03,59.014,
2001-04,57.196,
2001-05,58.116,
2001-06,58.498,
2001-07,56.875,
2001-08,55.444,
2001-09,57.201,
2001-10,57.501,
2001-11,58.329,
2001-12,55.371,
2002-01,55.145,
2002-02,55.147,
2002-03,53.851,
2002-04,54.208,
2002-05,53.299,
2002-06,55.532,
2002-07,52.976,
2002-08,50.277,
2002-09,52.363,
2002-10,53.577,
2002-11,54.227,
2002-12,51.693,
2003-01,52.159,
2003-02,52.050,
2003-03,53.974,
2003-04,53.905,
2003-05,52.379,
2003-06,52.846,
2003-07,51.171,
2003-08,49.286,
2003-09,51.061,
2003-10,52.187,
2003-11,54.587,
2003-12,51.459,
2004-01,50.661,
2004-02,52.249,
2004-03,54.521,
2004-04,53.335,
2004-05,61.205,
2004-06,63.401,
2004-07,60.688,
2004-08,57.835,
2004-09,60.936,
2004-10,63.424,
2004-11,65.773,
2004-12,61.563,
2005-01,61.056,
2005-02,61.256,
2005-03,64.450,
2005-04,64.003,
2005-05,63.415,
2005-06,65.428,
2005-07,64.735,
2005-08,61.794,
2005-09,66.166,
2005-10,67.017,
2005-11,69.510,
2005-12,66.156,
2006-01,67.101,
2006-02,68.414,
2006-03,71.208,
2006-04,69.879,
2006-05,69.495,
2006-06,71.842,
2006-07,69.398,
2006-08,66.827,
2006-09,71.779,
2006-10,72.828,
2006-11,76.231,
2006-12,72.902,
2007-01,75.031,
2007-02,76.518,
2007-03,79.570,
2007-04,76.978,
2007-05,77.010,
2007-06,78.900,
2007-07,75.264,
2007-08,72.580,
2007-09,76.299,
2007-10,78.151,
2007-11,80.531,
2007-12,75.942,
2008-01,76.626,
2008-02,79.705,
2008-03,82.017,
2008-04,82.566,
2008-05,83.320,
2008-06,84.378,
2008-07,81.876,
2008-08,78.048,
2008-09,81.542,
2008-10,81.579,
2008-11,80.346,
2008-12,75.192,
2009-01,71.182,
2009-02,72.052,
2009-03,73.267,
2009-04,68.436,
2009-05,70.551,
2009-06,74.004,
2009-07,72.081,
2009-08,67.685,
2009-09,70.165,
2009-10,72.382,
2009-11,74.895,
2009-12,70.051,
2010-01,62.993,
2010-02,63.493,
2010-03,69.401,
2010-04,67.387,
2010-05,69.597,
2010-06,72.146,
2010-07,69.961,
2010-08,67.214,
2010-09,72.345,
2010-10,73.746,
2010-11,73.999,
2010-12,71.525,
2011-01,70.465,
2011-02,75.582,
2011-03,76.842,
2011-04,75.711,
2011-05,76.343,
2011-06,77.673,
2011-07,75.431,
2011-08,71.490,
2011-09,77.057,
2011-10,76.790,
2011-11,78.531,
2011-12,76.472,
2012-01,74.957,
2012-02,77.715,
2012-03,81.118,
2012-04,77.367,
2012-05,76.598,
2012-06,78.574,
2012-07,76.587,
2012-08,73.299,
2012-09,77.127,
2012-10,77.708,
2012-11,80.241,
2012-12,74.167,
2013-01,73.046,
2013-02,74.836,
2013-03,78.990,
2013-04,76.260,
2013-05,72.801,
2013-06,75.875,
2013-07,71.966,
2013-08,71.667,
2013-09,76.695,
2013-10,76.924,
2013-11,80.391,
2013-12,75.934,
2014-01,74.637,
2014-02,75.981,
2014-03,80.084,
2014-04,78.022,
2014-05,76.233,
2014-06,79.593,
2014-07,76.841,
2014-08,74.576,
2014-09,79.038,
2014-10,79.233,
2014-11,81.755,
2014-12,77.872,
"","General: From 1995, including Austria, Finland and Sweden; up to December 2002, including Guernsey, Jersey and the Isle of Man; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
