"",BBDE1.M.DE.Y.BAA1.N2C110000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.N2C110000.G.C.I10.A_FLAGS
"",Output in the production sector / Germany / 11.0 Manufacture of beverages / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:29:47,
1991-01,127.3,
1991-02,113.4,
1991-03,120.6,
1991-04,113.3,
1991-05,111.3,
1991-06,103.6,
1991-07,120.0,
1991-08,117.3,
1991-09,122.0,
1991-10,122.2,
1991-11,115.6,
1991-12,119.1,
1992-01,126.6,
1992-02,117.7,
1992-03,113.5,
1992-04,116.3,
1992-05,112.1,
1992-06,122.3,
1992-07,118.9,
1992-08,118.4,
1992-09,118.5,
1992-10,114.4,
1992-11,117.3,
1992-12,128.0,
1993-01,114.6,
1993-02,111.9,
1993-03,113.3,
1993-04,119.2,
1993-05,117.4,
1993-06,117.8,
1993-07,108.0,
1993-08,110.5,
1993-09,113.5,
1993-10,112.0,
1993-11,117.9,
1993-12,118.5,
1994-01,116.0,
1994-02,117.1,
1994-03,120.5,
1994-04,112.5,
1994-05,115.3,
1994-06,110.1,
1994-07,128.6,
1994-08,125.9,
1994-09,112.9,
1994-10,119.4,
1994-11,126.4,
1994-12,116.3,
1995-01,109.5,
1995-02,117.7,
1995-03,113.7,
1995-04,113.9,
1995-05,114.8,
1995-06,113.1,
1995-07,126.4,
1995-08,123.7,
1995-09,112.0,
1995-10,120.0,
1995-11,118.1,
1995-12,110.1,
1996-01,112.2,
1996-02,117.9,
1996-03,115.7,
1996-04,127.1,
1996-05,118.8,
1996-06,120.5,
1996-07,110.7,
1996-08,114.3,
1996-09,114.7,
1996-10,117.5,
1996-11,113.3,
1996-12,116.6,
1997-01,118.5,
1997-02,119.9,
1997-03,121.7,
1997-04,116.6,
1997-05,121.0,
1997-06,116.8,
1997-07,116.1,
1997-08,119.8,
1997-09,123.1,
1997-10,117.0,
1997-11,111.3,
1997-12,121.0,
1998-01,123.4,
1998-02,118.9,
1998-03,115.2,
1998-04,119.1,
1998-05,118.7,
1998-06,115.1,
1998-07,111.1,
1998-08,113.4,
1998-09,110.1,
1998-10,107.9,
1998-11,108.9,
1998-12,117.5,
1999-01,118.9,
1999-02,112.5,
1999-03,118.5,
1999-04,115.3,
1999-05,114.1,
1999-06,116.2,
1999-07,119.8,
1999-08,117.2,
1999-09,124.1,
1999-10,116.2,
1999-11,121.8,
1999-12,120.3,
2000-01,108.0,
2000-02,117.2,
2000-03,117.1,
2000-04,116.0,
2000-05,122.4,
2000-06,123.2,
2000-07,106.5,
2000-08,111.6,
2000-09,114.6,
2000-10,115.9,
2000-11,116.2,
2000-12,109.5,
2001-01,111.8,
2001-02,116.7,
2001-03,113.1,
2001-04,115.3,
2001-05,118.7,
2001-06,111.5,
2001-07,116.4,
2001-08,121.9,
2001-09,115.3,
2001-10,121.0,
2001-11,119.6,
2001-12,114.2,
2002-01,122.8,
2002-02,118.1,
2002-03,124.4,
2002-04,117.4,
2002-05,113.7,
2002-06,112.9,
2002-07,115.2,
2002-08,113.0,
2002-09,122.9,
2002-10,118.4,
2002-11,112.1,
2002-12,110.0,
2003-01,115.2,
2003-02,113.3,
2003-03,110.6,
2003-04,116.6,
2003-05,108.1,
2003-06,120.3,
2003-07,120.4,
2003-08,121.8,
2003-09,114.9,
2003-10,116.2,
2003-11,109.5,
2003-12,114.7,
2004-01,116.0,
2004-02,113.8,
2004-03,111.4,
2004-04,111.5,
2004-05,101.5,
2004-06,107.7,
2004-07,103.8,
2004-08,113.1,
2004-09,109.0,
2004-10,102.3,
2004-11,108.6,
2004-12,108.1,
2005-01,106.7,
2005-02,104.2,
2005-03,108.5,
2005-04,105.8,
2005-05,106.0,
2005-06,107.8,
2005-07,111.8,
2005-08,102.6,
2005-09,108.7,
2005-10,109.7,
2005-11,110.7,
2005-12,101.7,
2006-01,100.9,
2006-02,107.3,
2006-03,104.3,
2006-04,108.0,
2006-05,110.3,
2006-06,113.0,
2006-07,120.9,
2006-08,110.7,
2006-09,107.2,
2006-10,108.7,
2006-11,110.7,
2006-12,109.6,
2007-01,105.2,
2007-02,107.6,
2007-03,105.2,
2007-04,110.2,
2007-05,109.9,
2007-06,104.0,
2007-07,103.0,
2007-08,98.9,
2007-09,101.4,
2007-10,105.1,
2007-11,103.2,
2007-12,105.4,
2008-01,112.3,
2008-02,104.4,
2008-03,101.1,
2008-04,97.7,
2008-05,104.3,
2008-06,103.4,
2008-07,102.2,
2008-08,98.8,
2008-09,101.8,
2008-10,99.8,
2008-11,98.0,
2008-12,105.1,
2009-01,100.7,
2009-02,96.8,
2009-03,96.8,
2009-04,103.3,
2009-05,97.3,
2009-06,93.5,
2009-07,96.5,
2009-08,98.8,
2009-09,103.6,
2009-10,94.9,
2009-11,96.5,
2009-12,102.4,
