"",BBK01.OEAJ05L,BBK01.OEAJ05L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:25,
2002-01,90.583,
2002-04,90.207,
2002-07,89.988,
2002-10,90.617,
2003-01,90.567,
2003-04,90.166,
2003-07,93.034,
2003-10,92.498,
2004-01,93.174,
2004-04,94.719,
2004-07,95.165,
2004-10,95.042,
2005-01,96.023,
2005-04,94.856,
2005-07,95.755,
2005-10,95.869,
2006-01,99.743,
2006-04,99.807,
2006-07,99.088,
2006-10,97.795,
2007-01,96.472,
2007-04,96.397,
2007-07,98.591,
2007-10,98.483,
2008-01,98.833,
2008-04,98.248,
2008-07,106.596,
2008-10,118.598,
2009-01,118.606,
2009-04,118.347,
2009-07,108.989,
2009-10,108.046,
2010-01,105.905,
2010-04,105.943,
2010-07,109.966,
2010-10,132.047,
2011-01,129.859,
2011-04,127.031,
2011-07,125.759,
2011-10,123.937,
2012-01,120.827,
2012-04,117.009,
2012-07,114.266,
2012-10,110.973,
2013-01,108.906,
2013-04,108.151,
2013-07,107.717,
2013-10,105.106,
2014-01,103.726,
2014-04,102.108,
2014-07,100.441,
