"",BBK01.OEAH15T,BBK01.OEAH15T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:44,
2002-01,23.965,
2002-04,23.902,
2002-07,24.019,
2002-10,24.750,
2003-01,24.427,
2003-04,24.010,
2003-07,23.958,
2003-10,24.677,
2004-01,24.409,
2004-04,24.146,
2004-07,24.139,
2004-10,25.016,
2005-01,25.722,
2005-04,25.638,
2005-07,25.750,
2005-10,26.383,
2006-01,26.022,
2006-04,26.098,
2006-07,25.999,
2006-10,27.116,
2007-01,26.758,
2007-04,26.790,
2007-07,27.050,
2007-10,28.038,
2008-01,27.715,
2008-04,27.899,
2008-07,27.923,
2008-10,29.531,
2009-01,29.236,
2009-04,28.950,
2009-07,29.162,
2009-10,29.839,
2010-01,29.376,
2010-04,29.746,
2010-07,29.755,
2010-10,30.901,
2011-01,30.049,
2011-04,30.181,
2011-07,30.878,
2011-10,31.423,
2012-01,31.188,
2012-04,30.827,
2012-07,31.535,
2012-10,32.276,
2013-01,31.719,
2013-04,31.536,
2013-07,31.922,
2013-10,32.498,
2014-01,32.356,
2014-04,32.299,
2014-07,32.753,
