"",BBFN1.M.DE.N.1.L.PA.S1P.F0.S.B000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.PA.S1P.F0.S.B000.Z01.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Total / Panama,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:58,
1975-12,0.049,
1976-01,0.013,
1976-02,0.008,
1976-03,0.015,
1976-04,0.015,
1976-05,0.013,
1976-06,0.016,
1976-07,0.013,
1976-08,0.020,
1976-09,0.019,
1976-10,0.018,
1976-11,0.013,
1976-12,0.013,
1977-01,0.013,
1977-02,0.010,
1977-03,0.012,
1977-04,0.020,
1977-05,0.012,
1977-06,0.023,
1977-07,0.035,
1977-08,0.029,
1977-09,0.031,
1977-10,0.025,
1977-11,0.024,
1977-12,0.036,
1978-01,0.026,
1978-02,0.038,
1978-03,0.035,
1978-04,0.055,
1978-05,0.049,
1978-06,0.053,
1978-07,0.048,
1978-08,0.043,
1978-09,0.067,
1978-10,0.057,
1978-11,0.080,
1978-12,0.075,
1979-01,0.070,
1979-02,0.064,
1979-03,0.073,
1979-04,0.098,
1979-05,0.079,
1979-06,0.068,
1979-07,0.057,
1979-08,0.061,
1979-09,0.055,
1979-10,0.039,
1979-11,0.052,
1979-12,0.017,
1980-01,0.042,
1980-02,0.060,
1980-03,0.067,
1980-04,0.043,
1980-05,0.047,
1980-06,0.058,
1980-07,0.066,
1980-08,0.065,
1980-09,0.066,
1980-10,0.062,
1980-11,0.061,
1980-12,0.034,
1981-01,0.060,
1981-02,0.025,
1981-03,0.025,
1981-04,0.034,
1981-05,0.032,
1981-06,0.031,
1981-07,0.039,
1981-08,0.046,
1981-09,0.052,
1981-10,0.055,
1981-11,0.049,
1981-12,0.052,
1982-01,0.044,
1982-02,0.051,
1982-03,0.034,
1982-04,0.047,
1982-05,0.041,
1982-06,0.055,
1982-07,0.049,
1982-08,0.052,
1982-09,0.041,
1982-10,0.034,
1982-11,0.030,
1982-12,0.031,
1983-01,0.025,
1983-02,0.031,
1983-03,0.029,
1983-04,0.026,
1983-05,0.028,
1983-06,0.027,
1983-07,0.032,
1983-08,0.034,
1983-09,0.039,
1983-10,0.028,
1983-11,0.035,
1983-12,0.037,
1984-01,0.034,
1984-02,0.030,
1984-03,0.028,
1984-04,0.028,
1984-05,0.028,
1984-06,0.025,
1984-07,0.021,
1984-08,0.020,
1984-09,0.031,
1984-10,0.020,
1984-11,0.022,
1984-12,0.020,
1985-01,0.023,
1985-02,0.019,
1985-03,0.022,
1985-04,0.035,
1985-05,0.024,
1985-06,0.025,
1985-07,0.031,
1985-08,0.027,
1985-09,0.029,
1985-10,0.022,
1985-11,0.015,
1985-12,0.018,
1986-01,0.015,
1986-02,0.012,
1986-03,0.014,
1986-04,0.015,
1986-05,0.021,
1986-06,0.019,
1986-07,0.014,
1986-08,0.017,
1986-09,0.009,
1986-10,0.008,
1986-11,0.007,
1986-12,0.025,
1987-01,0.024,
1987-02,0.030,
1987-03,0.008,
1987-04,0.008,
1987-05,0.008,
1987-06,0.010,
1987-07,0.008,
1987-08,0.008,
1987-09,0.010,
1987-10,0.007,
1987-11,0.007,
1987-12,0.014,
1988-01,0.016,
1988-02,0.010,
1988-03,0.010,
1988-04,0.009,
1988-05,0.008,
1988-06,0.009,
