"",BBDE1.M.DE.Y.AEA1.N2C240000.F.C.I10.A,BBDE1.M.DE.Y.AEA1.N2C240000.F.C.I10.A_FLAGS
"",Orders received / At constant prices / Germany / 24 Manufacture of basic metals / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:05,
1991-01,87.7,
1991-02,88.5,
1991-03,87.7,
1991-04,83.5,
1991-05,81.9,
1991-06,81.7,
1991-07,79.4,
1991-08,84.9,
1991-09,82.9,
1991-10,83.8,
1991-11,85.0,
1991-12,85.7,
1992-01,89.0,
1992-02,86.8,
1992-03,84.9,
1992-04,84.1,
1992-05,83.8,
1992-06,82.8,
1992-07,80.0,
1992-08,81.1,
1992-09,79.5,
1992-10,74.5,
1992-11,74.6,
1992-12,72.7,
1993-01,77.9,
1993-02,74.5,
1993-03,72.1,
1993-04,77.1,
1993-05,74.7,
1993-06,78.2,
1993-07,77.0,
1993-08,72.4,
1993-09,78.6,
1993-10,78.1,
1993-11,79.2,
1993-12,79.3,
1994-01,79.5,
1994-02,81.8,
1994-03,88.3,
1994-04,87.6,
1994-05,89.7,
1994-06,89.7,
1994-07,87.6,
1994-08,89.1,
1994-09,91.1,
1994-10,92.1,
1994-11,92.9,
1994-12,95.0,
1995-01,84.1,
1995-02,88.5,
1995-03,87.6,
1995-04,83.9,
1995-05,80.8,
1995-06,79.3,
1995-07,78.7,
1995-08,76.4,
1995-09,77.8,
1995-10,76.4,
1995-11,73.3,
1995-12,73.4,
1996-01,76.0,
1996-02,75.8,
1996-03,76.5,
1996-04,77.1,
1996-05,77.7,
1996-06,81.6,
1996-07,82.4,
1996-08,84.3,
1996-09,83.0,
1996-10,86.1,
1996-11,85.3,
1996-12,84.4,
1997-01,85.0,
1997-02,92.0,
1997-03,88.2,
1997-04,88.4,
1997-05,87.9,
1997-06,91.0,
1997-07,91.3,
1997-08,90.1,
1997-09,90.5,
1997-10,95.2,
1997-11,94.6,
1997-12,95.0,
1998-01,92.0,
1998-02,89.7,
1998-03,88.4,
1998-04,87.6,
1998-05,87.4,
1998-06,92.3,
1998-07,82.2,
1998-08,83.9,
1998-09,83.5,
1998-10,81.7,
1998-11,81.0,
1998-12,80.0,
1999-01,83.3,
1999-02,80.1,
1999-03,83.8,
1999-04,83.2,
1999-05,84.9,
1999-06,88.1,
1999-07,89.0,
1999-08,93.4,
1999-09,93.8,
1999-10,94.7,
1999-11,97.2,
1999-12,99.2,
2000-01,91.5,
2000-02,94.2,
2000-03,94.6,
2000-04,94.3,
2000-05,95.5,
2000-06,92.2,
2000-07,95.0,
2000-08,95.4,
2000-09,92.5,
2000-10,95.5,
2000-11,91.3,
2000-12,93.1,
2001-01,91.8,
2001-02,90.3,
2001-03,87.7,
2001-04,89.2,
2001-05,90.1,
2001-06,87.6,
2001-07,91.3,
2001-08,90.7,
2001-09,89.8,
2001-10,89.6,
2001-11,85.0,
2001-12,91.2,
2002-01,92.4,
2002-02,93.2,
2002-03,86.6,
2002-04,95.1,
2002-05,95.1,
2002-06,97.8,
2002-07,96.3,
2002-08,94.2,
2002-09,95.1,
2002-10,100.0,
2002-11,95.5,
2002-12,91.9,
2003-01,93.1,
2003-02,94.0,
2003-03,92.2,
2003-04,91.2,
2003-05,88.6,
2003-06,90.2,
2003-07,91.0,
2003-08,89.7,
2003-09,92.7,
2003-10,95.5,
2003-11,102.2,
2003-12,106.6,
2004-01,101.7,
2004-02,102.6,
2004-03,103.3,
2004-04,101.5,
2004-05,101.7,
2004-06,97.1,
2004-07,98.2,
2004-08,97.6,
2004-09,96.3,
2004-10,91.3,
2004-11,92.3,
2004-12,94.1,
2005-01,91.5,
2005-02,88.5,
2005-03,88.9,
2005-04,88.1,
2005-05,89.2,
2005-06,91.3,
2005-07,104.6,
2005-08,96.8,
2005-09,100.8,
2005-10,103.9,
2005-11,102.8,
2005-12,106.0,
2006-01,103.4,
2006-02,107.4,
2006-03,105.2,
2006-04,107.3,
2006-05,110.1,
2006-06,111.1,
2006-07,110.1,
2006-08,111.6,
2006-09,109.0,
2006-10,109.7,
2006-11,109.5,
2006-12,107.7,
2007-01,108.7,
2007-02,105.5,
2007-03,108.5,
2007-04,105.4,
2007-05,111.9,
2007-06,113.3,
2007-07,103.8,
2007-08,108.3,
2007-09,112.2,
2007-10,113.0,
2007-11,129.0,
2007-12,124.0,
2008-01,112.3,
2008-02,112.9,
2008-03,110.8,
2008-04,112.4,
2008-05,114.4,
2008-06,108.0,
2008-07,104.6,
2008-08,104.7,
2008-09,98.3,
2008-10,88.1,
2008-11,73.9,
2008-12,68.2,
2009-01,62.2,
2009-02,57.5,
2009-03,57.9,
2009-04,69.0,
2009-05,75.1,
2009-06,85.8,
2009-07,84.9,
2009-08,88.6,
2009-09,87.6,
2009-10,84.7,
2009-11,90.2,
2009-12,86.5,
2010-01,92.3,
2010-02,96.2,
2010-03,98.5,
2010-04,110.1,
2010-05,96.4,
2010-06,100.0,
2010-07,99.7,
2010-08,99.6,
2010-09,101.2,
2010-10,101.6,
2010-11,102.5,
2010-12,97.4,
2011-01,108.9,
2011-02,104.9,
2011-03,106.2,
2011-04,100.4,
2011-05,101.5,
2011-06,100.5,
2011-07,100.4,
2011-08,107.0,
2011-09,97.9,
2011-10,100.8,
2011-11,94.1,
2011-12,101.7,
2012-01,99.3,
2012-02,103.4,
2012-03,96.1,
2012-04,97.1,
2012-05,98.6,
2012-06,99.2,
2012-07,96.5,
2012-08,98.7,
2012-09,93.1,
2012-10,96.7,
2012-11,95.0,
2012-12,98.4,
2013-01,91.8,
2013-02,93.9,
2013-03,94.9,
2013-04,96.1,
2013-05,97.1,
2013-06,98.0,
2013-07,98.4,
2013-08,98.8,
2013-09,97.9,
2013-10,99.8,
2013-11,95.7,
2013-12,99.2,
2014-01,93.9,
2014-02,98.3,
2014-03,102.0,
2014-04,98.9,
2014-05,97.0,
2014-06,98.7,
2014-07,96.8,
2014-08,99.3,
2014-09,102.4,
2014-10,101.4,
2014-11,94.4,
2014-12,98.3,Provisional value
