"",BBFB1.Q.N.DE.BE.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.BE.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Belgium,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:01,
1991-01,5.246,
1991-04,4.567,
1991-07,-3.257,
1991-10,5.246,
1992-01,-13.716,
1992-04,-13.716,
1992-07,-13.716,
1992-10,-14.248,
1993-01,-2.813,
1993-04,-2.956,
1993-07,-2.813,
1993-10,-3.099,
1994-01,6.937,
1994-04,12.285,
1994-07,12.285,
1994-10,12.063,
1995-01,-108.469,
1995-04,-100.881,
1995-07,-99.678,
1995-10,-99.756,
1996-01,-68.241,
1996-04,-86.415,
1996-07,-68.241,
1996-10,-71.728,
1997-01,-102.259,
1997-04,-102.259,
1997-07,-103.842,
1997-10,-106.713,
1998-01,-38.347,
1998-04,-38.347,
1998-07,-38.347,
1998-10,-38.347,
1999-01,-220.023,
1999-04,-219.000,
1999-07,-221.000,
1999-10,-253.242,
2000-01,-489.725,
2000-04,-489.000,
2000-07,-488.239,
2000-10,-489.000,
2001-01,16.567,
2001-04,-1062.837,
2001-07,20.520,
2001-10,-118.960,
2002-01,-544.997,
2002-04,-811.080,
2002-07,-273.364,
2002-10,-180.651,
2003-01,50.820,
2003-04,-201.216,
2003-07,45.806,
2003-10,23.474,
2004-01,287.327,
2004-04,-246.670,
2004-07,230.910,
2004-10,300.950,
2005-01,35.905,
2005-04,-116.482,
2005-07,39.349,
2005-10,-49.303,
2006-01,17.790,
2006-04,-112.521,
2006-07,9.844,
2006-10,-122.485,
2007-01,112.634,
2007-04,-192.265,
2007-07,27.211,
2007-10,10.425,
2008-01,167.814,
2008-04,-164.788,
2008-07,-199.644,
2008-10,-119.889,
2009-01,-35.475,
2009-04,-200.708,
2009-07,-486.431,
2009-10,-1340.235,
2010-01,118.224,
2010-04,165.187,
2010-07,42.723,
2010-10,5.972,
2011-01,81.556,
2011-04,11.202,
2011-07,93.087,
2011-10,56.142,
2012-01,2.506,
2012-04,53.776,
2012-07,112.058,
2012-10,73.397,
2013-01,90.859,
2013-04,14.064,
2013-07,19.827,
2013-10,-10.856,
2014-01,24.058,Provisional value
2014-04,-70.471,Provisional value
2014-07,65.431,Provisional value
2014-10,52.320,Provisional value
