"",BBK01.OEAL02L,BBK01.OEAL02L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:13:01,
2002-01,36.720,
2002-04,40.529,
2002-07,41.579,
2002-10,44.421,
2003-01,50.522,
2003-04,54.346,
2003-07,55.180,
2003-10,55.554,
2004-01,61.337,
2004-04,69.292,
2004-07,70.736,
2004-10,73.491,
2005-01,75.398,
2005-04,79.085,
2005-07,78.527,
2005-10,80.887,
2006-01,81.334,
2006-04,82.631,
2006-07,77.726,
2006-10,77.512,
2007-01,75.686,
2007-04,76.098,
2007-07,75.157,
2007-10,74.884,
2008-01,73.466,
2008-04,71.509,
2008-07,71.026,
2008-10,68.120,
2009-01,76.090,
2009-04,77.315,
2009-07,86.019,
2009-10,94.225,
2010-01,96.385,
2010-04,100.378,
2010-07,100.541,
2010-10,102.892,
2011-01,107.321,
2011-04,107.356,
2011-07,106.520,
2011-10,108.265,
2012-01,110.152,
2012-04,113.323,
2012-07,120.403,
2012-10,128.076,
2013-01,135.948,
2013-04,139.741,
2013-07,145.035,
2013-10,150.743,
2014-01,154.576,
2014-04,157.598,
2014-07,158.841,
