"",BBK01.OEAH61K,BBK01.OEAH61K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:50,
2002-01,1.567,
2002-04,1.566,
2002-07,1.531,
2002-10,1.595,
2003-01,1.601,
2003-04,1.630,
2003-07,1.642,
2003-10,1.672,
2004-01,1.673,
2004-04,1.708,
2004-07,1.698,
2004-10,1.758,
2005-01,1.844,
2005-04,2.060,
2005-07,2.080,
2005-10,2.092,
2006-01,2.083,
2006-04,2.093,
2006-07,2.085,
2006-10,1.938,
2007-01,1.916,
2007-04,1.926,
2007-07,1.260,
2007-10,1.357,
2008-01,1.467,
2008-04,1.490,
2008-07,1.537,
2008-10,1.622,
2009-01,1.608,
2009-04,1.653,
2009-07,1.674,
2009-10,1.732,
2010-01,1.667,
2010-04,1.647,
2010-07,1.521,
2010-10,1.482,
2011-01,1.492,
2011-04,1.477,
2011-07,1.439,
2011-10,1.607,
2012-01,1.680,
2012-04,1.601,
2012-07,1.578,
2012-10,1.523,
2013-01,1.494,
2013-04,1.486,
2013-07,1.452,
2013-10,1.471,
2014-01,1.382,
2014-04,1.391,
2014-07,1.318,
