"",BBK01.OEXL03O,BBK01.OEXL03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:02,
2002-01,-6.093,
2002-04,-5.919,
2002-07,-6.119,
2002-10,-5.984,
2003-01,-5.784,
2003-04,-5.558,
2003-07,-5.179,
2003-10,-4.970,
2004-01,-4.761,
2004-04,-4.652,
2004-07,-4.550,
2004-10,-4.415,
2005-01,0.112,
2005-04,0.114,
2005-07,0.109,
2005-10,0.110,
2006-01,0.108,
2006-04,0.088,
2006-07,0.125,
2006-10,0.169,
2007-01,0.168,
2007-04,0.170,
2007-07,0.163,
2007-10,0.220,
2008-01,0.246,
2008-04,0.235,
2008-07,0.265,
2008-10,0.293,
2009-01,0.257,
2009-04,0.230,
2009-07,0.224,
2009-10,0.237,
2010-01,0.266,
2010-04,0.326,
2010-07,0.342,
2010-10,0.335,
2011-01,0.399,
2011-04,0.427,
2011-07,0.446,
2011-10,0.472,
2012-01,0.482,
2012-04,0.567,
2012-07,0.595,
2012-10,0.599,
2013-01,0.590,
2013-04,0.612,
2013-07,0.620,
2013-10,0.598,
2014-01,0.598,
2014-04,0.595,
2014-07,0.610,
