"",BBK01.OEXB21V,BBK01.OEXB21V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:37,
2002-01,0.900,
2002-04,0.889,
2002-07,0.915,
2002-10,0.981,
2003-01,0.923,
2003-04,0.937,
2003-07,0.961,
2003-10,0.987,
2004-01,1.045,
2004-04,1.044,
2004-07,1.049,
2004-10,1.100,
2005-01,1.150,
2005-04,1.199,
2005-07,1.207,
2005-10,1.207,
2006-01,1.228,
2006-04,1.210,
2006-07,1.216,
2006-10,1.188,
2007-01,1.165,
2007-04,1.165,
2007-07,1.141,
2007-10,0.957,
2008-01,0.921,
2008-04,0.891,
2008-07,0.866,
2008-10,0.846,
2009-01,0.821,
2009-04,0.837,
2009-07,0.842,
2009-10,0.869,
2010-01,0.925,
2010-04,0.922,
2010-07,0.940,
2010-10,0.939,
2011-01,0.959,
2011-04,0.955,
2011-07,0.959,
2011-10,0.941,
2012-01,0.903,
2012-04,0.896,
2012-07,0.886,
2012-10,0.933,
2013-01,0.920,
2013-04,0.904,
2013-07,0.904,
2013-10,0.997,
2014-01,1.030,
2014-04,0.992,
2014-07,1.023,
