"",BBK01.OECB22H,BBK01.OECB22H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:59,
2002-01,0.112,
2002-04,0.142,
2002-07,0.185,
2002-10,0.207,
2003-01,0.214,
2003-04,0.457,
2003-07,0.199,
2003-10,0.513,
2004-01,0.257,
2004-04,0.258,
2004-07,0.232,
2004-10,0.250,
2005-01,0.385,
2005-04,0.665,
2005-07,0.763,
2005-10,0.299,
2006-01,0.276,
2006-04,0.235,
2006-07,0.226,
2006-10,0.200,
2007-01,0.193,
2007-04,0.170,
2007-07,0.238,
2007-10,0.165,
2008-01,0.146,
2008-04,0.380,
2008-07,0.492,
2008-10,0.503,
2009-01,0.653,
2009-04,1.014,
2009-07,1.078,
2009-10,1.172,
2010-01,1.048,
2010-04,1.273,
2010-07,1.725,
2010-10,1.727,
2011-01,1.842,
2011-04,2.387,
2011-07,3.505,
2011-10,7.324,
2012-01,4.869,
2012-04,4.080,
2012-07,4.069,
2012-10,2.539,
2013-01,2.599,
2013-04,2.542,
2013-07,2.451,
2013-10,2.280,
2014-01,0.712,
2014-04,0.486,
2014-07,0.582,
