"",BBK01.OEAF34M,BBK01.OEAF34M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:36,
2002-01,49.187,
2002-04,49.433,
2002-07,51.014,
2002-10,51.388,
2003-01,52.969,
2003-04,53.620,
2003-07,60.567,
2003-10,61.041,
2004-01,60.218,
2004-04,60.292,
2004-07,59.697,
2004-10,60.676,
2005-01,61.273,
2005-04,62.214,
2005-07,63.591,
2005-10,64.413,
2006-01,64.983,
2006-04,65.000,
2006-07,65.403,
2006-10,65.771,
2007-01,68.425,
2007-04,66.422,
2007-07,66.813,
2007-10,67.063,
2008-01,67.147,
2008-04,67.890,
2008-07,68.119,
2008-10,68.093,
2009-01,67.874,
2009-04,68.303,
2009-07,67.925,
2009-10,66.966,
2010-01,68.808,
2010-04,67.948,
2010-07,68.668,
2010-10,66.190,
2011-01,66.309,
2011-04,65.892,
2011-07,66.002,
2011-10,65.794,
2012-01,65.552,
2012-04,65.546,
2012-07,65.566,
2012-10,65.266,
2013-01,65.467,
2013-04,65.412,
2013-07,65.569,
2013-10,65.477,
2014-01,65.428,
2014-04,65.598,
2014-07,65.523,
