"",BBFB1.Q.N.DE.AT.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.A.FA___OWR._T.F._Z._T._X.N_FLAGS
"",Financial account (excl. Reserve assets) / Net domestic investment abroad / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:18,
1991-01,-815.081,
1991-04,120.357,
1991-07,34.572,
1991-10,719.084,
1992-01,-267.760,
1992-04,-551.595,
1992-07,-244.639,
1992-10,-770.648,
1993-01,819.594,
1993-04,1047.995,
1993-07,917.395,
1993-10,501.807,
1994-01,-317.241,
1994-04,1069.562,
1994-07,-220.989,
1994-10,421.930,
1995-01,1672.214,
1995-04,200.700,
1995-07,318.519,
1995-10,1783.461,
1996-01,633.024,
1996-04,1272.558,
1996-07,2312.326,
1996-10,1665.862,
1997-01,668.296,
1997-04,1902.133,
1997-07,1940.650,
1997-10,1496.651,
1998-01,257.379,
1998-04,837.638,
1998-07,3906.427,
1998-10,3638.428,
1999-01,6319.585,
1999-04,7735.303,
1999-07,6780.992,
1999-10,-3996.617,
2000-01,4793.852,
2000-04,1755.842,
2000-07,16793.547,
2000-10,-3068.018,
2001-01,2112.305,
2001-04,286.699,
2001-07,2711.145,
2001-10,649.626,
2002-01,4891.608,
2002-04,2410.008,
2002-07,-405.277,
2002-10,-445.501,
2003-01,1603.709,
2003-04,3067.920,
2003-07,-2439.150,
2003-10,-301.447,
2004-01,5926.323,
2004-04,2383.652,
2004-07,2911.858,
2004-10,1506.435,
2005-01,6128.879,
2005-04,17501.176,
2005-07,2194.632,
2005-10,1145.192,
2006-01,10808.504,
2006-04,3717.839,
2006-07,3158.013,
2006-10,7126.258,
2007-01,-5595.819,
2007-04,1570.162,
2007-07,2244.490,
2007-10,-1035.489,
2008-01,4331.875,
2008-04,2818.457,
2008-07,4063.415,
2008-10,-5678.763,
2009-01,307.893,
2009-04,-373.509,
2009-07,4249.439,
2009-10,155.607,
2010-01,1901.317,
2010-04,6984.729,
2010-07,-665.943,
2010-10,2443.245,
2011-01,7673.818,
2011-04,1159.802,
2011-07,713.556,
2011-10,-2002.227,
2012-01,6617.087,
2012-04,1482.883,
2012-07,3855.851,
2012-10,-1878.376,
2013-01,5485.285,
2013-04,2559.591,
2013-07,1891.155,
2013-10,377.559,
2014-01,1886.640,Provisional value
2014-04,3389.623,Provisional value
2014-07,2033.822,Provisional value
2014-10,-3751.320,Provisional value
