"",BBK01.OELK03Q,BBK01.OELK03Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:27,
2002-01,0.336,
2002-04,0.323,
2002-07,0.308,
2002-10,0.302,
2003-01,0.289,
2003-04,0.257,
2003-07,0.248,
2003-10,0.249,
2004-01,0.242,
2004-04,0.234,
2004-07,0.224,
2004-10,0.223,
2005-01,0.216,
2005-04,0.208,
2005-07,0.213,
2005-10,0.215,
2006-01,0.224,
2006-04,0.221,
2006-07,0.228,
2006-10,0.238,
2007-01,0.238,
2007-04,0.226,
2007-07,0.232,
2007-10,0.253,
2008-01,0.275,
2008-04,0.270,
2008-07,0.287,
2008-10,0.324,
2009-01,0.281,
2009-04,0.244,
2009-07,0.216,
2009-10,0.193,
2010-01,0.196,
2010-04,0.181,
2010-07,0.174,
2010-10,0.174,
2011-01,0.177,
2011-04,0.177,
2011-07,0.181,
2011-10,0.184,
2012-01,0.176,
2012-04,0.172,
2012-07,0.158,
2012-10,0.142,
2013-01,0.134,
2013-04,0.123,
2013-07,0.119,
2013-10,0.118,
2014-01,0.111,
2014-04,0.104,
2014-07,0.099,
