"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.Z5.NMFIS.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.Z5.NMFIS.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Non-MFIs (incl. General Government),
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:57,
2009-09,302304,
2009-10,306150,
2009-11,309303,
2009-12,313870,
2010-01,323163,
2010-02,326327,
2010-03,331944,
2010-04,331308,
2010-05,335577,
2010-06,335751,
2010-07,337481,
2010-08,349211,
2010-09,348552,
2010-10,350341,
2010-11,346344,
2010-12,343306,
2011-01,338583,
2011-02,340794,
2011-03,338202,
2011-04,337445,
2011-05,341450,
2011-06,339058,
2011-07,343961,
2011-08,347343,
2011-09,348209,
2011-10,350176,
2011-11,345579,
2011-12,358082,
2012-01,358672,
2012-02,370427,
2012-03,374765,
2012-04,379907,
2012-05,389846,
2012-06,388902,
2012-07,401672,
2012-08,405619,
2012-09,408212,
2012-10,413619,
2012-11,422609,
2012-12,427338,
2013-01,424605,
2013-02,433126,
2013-03,440776,
2013-04,448340,
2013-05,445338,
2013-06,438331,
2013-07,445053,
2013-08,444641,
2013-09,448288,
2013-10,450241,
2013-11,456354,
2013-12,454212,
2014-01,466144,
2014-02,471070,
2014-03,481933,
2014-04,485255,
2014-05,496183,
2014-06,501290,
2014-07,507345,
2014-08,518064,
2014-09,521679,
2014-10,525020,
2014-11,536371,
