"",BBEX3.M.HRK.USD.CA.AC.A01,BBEX3.M.HRK.USD.CA.AC.A01_FLAGS
2013-12,5.5490000,
2014-01,5.6191960,
2014-02,5.6092200,
2014-03,5.5758240,
2014-04,5.4852430,
2014-05,5.5747700,
2014-06,5.5622770,
2014-07,5.6980330,
2014-08,5.7868990,
2014-09,6.0153550,
2014-10,6.0882110,
2014-11,6.1636500,
2014-12,6.3021070,
2015-01,6.7777170,
"","General: With effect from 30 May 1994, the kuna (HRK) was introduced as Croatia's new legal tender. The Croatian dinar (CRD) was converted to kuna at a rate of CRD 1,000 = HRK 1; the Croatian dinar could be exchanged for kuna at this rate until 31 December 1994.",
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since October 2010: Croatian National Bank, Zagreb. May 1994 - September 2010: Zagrebacka Banka, Zagreb.",
