"",BBK01.OEAE32O,BBK01.OEAE32O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:01,
2002-01,1.225,
2002-04,1.242,
2002-07,1.237,
2002-10,1.244,
2003-01,1.168,
2003-04,1.193,
2003-07,1.146,
2003-10,1.136,
2004-01,1.133,
2004-04,1.141,
2004-07,1.131,
2004-10,1.238,
2005-01,1.232,
2005-04,1.222,
2005-07,1.220,
2005-10,1.195,
2006-01,1.193,
2006-04,1.203,
2006-07,1.197,
2006-10,1.187,
2007-01,1.173,
2007-04,1.166,
2007-07,1.158,
2007-10,1.154,
2008-01,1.163,
2008-04,1.160,
2008-07,1.170,
2008-10,1.241,
2009-01,1.230,
2009-04,1.256,
2009-07,1.253,
2009-10,1.245,
2010-01,1.207,
2010-04,1.072,
2010-07,1.118,
2010-10,1.150,
2011-01,1.152,
2011-04,1.146,
2011-07,1.228,
2011-10,1.174,
2012-01,1.125,
2012-04,1.124,
2012-07,1.127,
2012-10,1.128,
2013-01,1.122,
2013-04,1.140,
2013-07,1.130,
2013-10,1.123,
2014-01,1.127,
2014-04,1.130,
2014-07,1.131,
