"",BBK01.OEYL01H,BBK01.OEYL01H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:53,
2002-01,11.047,
2002-04,9.610,
2002-07,9.594,
2002-10,9.894,
2003-01,9.990,
2003-04,9.964,
2003-07,9.875,
2003-10,10.135,
2004-01,10.254,
2004-04,10.420,
2004-07,10.362,
2004-10,10.818,
2005-01,10.885,
2005-04,10.886,
2005-07,10.900,
2005-10,11.236,
2006-01,11.445,
2006-04,11.524,
2006-07,11.522,
2006-10,11.753,
2007-01,11.971,
2007-04,12.025,
2007-07,12.029,
2007-10,12.446,
2008-01,12.641,
2008-04,12.599,
2008-07,12.651,
2008-10,12.471,
2009-01,12.359,
2009-04,12.300,
2009-07,12.396,
2009-10,12.842,
2010-01,11.122,
2010-04,11.511,
2010-07,11.623,
2010-10,11.762,
2011-01,11.843,
2011-04,11.638,
2011-07,11.677,
2011-10,11.884,
2012-01,11.938,
2012-04,11.990,
2012-07,12.100,
2012-10,11.361,
2013-01,11.858,
2013-04,11.665,
2013-07,11.913,
2013-10,12.471,
2014-01,13.334,
2014-04,13.461,
2014-07,13.642,
