"",BBK01.OEHI02S,BBK01.OEHI02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:36,
2002-01,4.500,
2002-04,4.530,
2002-07,4.550,
2002-10,4.911,
2003-01,4.668,
2003-04,4.666,
2003-07,4.738,
2003-10,5.020,
2004-01,4.894,
2004-04,4.985,
2004-07,5.090,
2004-10,5.317,
2005-01,5.123,
2005-04,5.173,
2005-07,5.130,
2005-10,5.482,
2006-01,5.091,
2006-04,5.053,
2006-07,5.084,
2006-10,5.423,
2007-01,5.142,
2007-04,5.152,
2007-07,5.199,
2007-10,5.340,
2008-01,5.108,
2008-04,5.302,
2008-07,5.170,
2008-10,5.538,
2009-01,5.714,
2009-04,6.136,
2009-07,6.214,
2009-10,6.654,
2010-01,6.696,
2010-04,6.936,
2010-07,7.153,
2010-10,7.119,
2011-01,6.758,
2011-04,6.919,
2011-07,6.978,
2011-10,7.205,
2012-01,6.974,
2012-04,7.197,
2012-07,7.439,
2012-10,7.810,
2013-01,7.613,
2013-04,7.793,
2013-07,8.015,
2013-10,8.333,
2014-01,8.243,
2014-04,8.474,
2014-07,8.721,
