"",BBK01.CEFC05,BBK01.CEFC05_FLAGS
"",Financial derivatives and employee stock options  debtor: Total                          creditor: OFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:35:46,
1999-01,3.3,
1999-04,3.7,
1999-07,3.7,
1999-10,3.7,
2000-01,3.7,
2000-04,3.7,
2000-07,4.1,
2000-10,4.6,
2001-01,4.9,
2001-04,5.1,
2001-07,5.7,
2001-10,6.2,
2002-01,6.5,
2002-04,10.5,
2002-07,7.5,
2002-10,8.4,
2003-01,7.6,
2003-04,10.8,
2003-07,11.8,
2003-10,13.5,
2004-01,13.9,
2004-04,19.7,
2004-07,14.8,
2004-10,16.4,
2005-01,20.6,
2005-04,32.5,
2005-07,31.4,
2005-10,32.4,
2006-01,41.8,
2006-04,40.5,
2006-07,49.6,
2006-10,46.7,
2007-01,47.7,
2007-04,53.2,
2007-07,50.0,
2007-10,48.7,
2008-01,48.9,
2008-04,51.4,
2008-07,67.0,
2008-10,74.7,
2009-01,104.5,
2009-04,50.8,
2009-07,49.0,
2009-10,34.3,
2010-01,36.4,
2010-04,48.8,
2010-07,44.0,
2010-10,29.5,
2011-01,24.7,
2011-04,19.9,
2011-07,30.6,
2011-10,38.7,
2012-01,17.1,
2012-04,22.3,
2012-07,25.3,
2012-10,70.2,
2013-01,66.7,
2013-04,57.6,
2013-07,49.5,
2013-10,45.8,
2014-01,49.6,
2014-04,46.3,
2014-07,46.8,
