"",BBK01.OECO03N,BBK01.OECO03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:19,
2002-01,1.801,
2002-04,3.319,
2002-07,0.822,
2002-10,0.930,
2003-01,1.108,
2003-04,1.024,
2003-07,1.037,
2003-10,1.092,
2004-01,1.476,
2004-04,1.013,
2004-07,0.577,
2004-10,0.896,
2005-01,1.848,
2005-04,1.990,
2005-07,0.131,
2005-10,0.641,
2006-01,-0.228,
2006-04,-0.630,
2006-07,-0.855,
2006-10,-0.771,
2007-01,-1.282,
2007-04,-0.705,
2007-07,-0.778,
2007-10,-1.247,
2008-01,-1.189,
2008-04,-0.376,
2008-07,-0.698,
2008-10,0.028,
2009-01,-0.647,
2009-04,-0.734,
2009-07,-1.548,
2009-10,-0.816,
2010-01,2.952,
2010-04,1.973,
2010-07,3.107,
2010-10,2.104,
2011-01,2.200,
2011-04,2.321,
2011-07,2.026,
2011-10,1.638,
2012-01,2.131,
2012-04,1.727,
2012-07,1.659,
2012-10,1.610,
2013-01,2.965,
2013-04,1.636,
2013-07,1.773,
2013-10,1.313,
2014-01,1.265,
2014-04,1.016,
2014-07,1.047,
