"",BBK01.OEAD32P,BBK01.OEAD32P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:08,
2002-01,0.014,
2002-04,0.012,
2002-07,0.013,
2002-10,0.014,
2003-01,0.012,
2003-04,0.010,
2003-07,0.019,
2003-10,0.022,
2004-01,0.024,
2004-04,0.019,
2004-07,0.014,
2004-10,0.016,
2005-01,0.017,
2005-04,0.017,
2005-07,0.016,
2005-10,0.020,
2006-01,0.021,
2006-04,0.019,
2006-07,0.028,
2006-10,0.025,
2007-01,0.025,
2007-04,0.026,
2007-07,0.028,
2007-10,0.029,
2008-01,0.055,
2008-04,0.055,
2008-07,0.052,
2008-10,0.051,
2009-01,0.054,
2009-04,0.054,
2009-07,0.055,
2009-10,0.044,
2010-01,0.044,
2010-04,0.049,
2010-07,0.060,
2010-10,0.063,
2011-01,0.063,
2011-04,0.053,
2011-07,0.067,
2011-10,0.070,
2012-01,0.081,
2012-04,0.079,
2012-07,0.076,
2012-10,0.086,
2013-01,0.084,
2013-04,0.084,
2013-07,0.079,
2013-10,0.077,
2014-01,0.077,
2014-04,0.074,
2014-07,0.070,
