"",BBK01.OEBB01K,BBK01.OEBB01K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:07,
2002-01,34.497,
2002-04,33.610,
2002-07,32.555,
2002-10,31.984,
2003-01,31.361,
2003-04,32.171,
2003-07,34.187,
2003-10,33.320,
2004-01,34.452,
2004-04,32.981,
2004-07,33.518,
2004-10,34.292,
2005-01,29.908,
2005-04,29.904,
2005-07,30.502,
2005-10,31.923,
2006-01,31.341,
2006-04,32.100,
2006-07,33.614,
2006-10,33.664,
2007-01,33.351,
2007-04,33.762,
2007-07,35.679,
2007-10,36.253,
2008-01,37.575,
2008-04,39.638,
2008-07,41.175,
2008-10,41.475,
2009-01,41.988,
2009-04,45.142,
2009-07,44.893,
2009-10,45.605,
2010-01,46.543,
2010-04,48.111,
2010-07,44.026,
2010-10,44.495,
2011-01,43.096,
2011-04,43.031,
2011-07,45.030,
2011-10,45.367,
2012-01,45.241,
2012-04,51.584,
2012-07,51.061,
2012-10,56.810,
2013-01,57.169,
2013-04,56.107,
2013-07,55.525,
2013-10,54.396,
2014-01,54.212,
2014-04,54.853,
2014-07,55.553,
