"",BBK01.CEHCN0,BBK01.CEHCN0_FLAGS
"",Financial derivatives debtor: Rest of the world                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:17:37,
1991-01,0.1,
1991-04,-0.7,
1991-07,0.2,
1991-10,0.0,
1992-01,-0.1,
1992-04,0.2,
1992-07,-0.2,
1992-10,0.3,
1993-01,-0.3,
1993-04,0.2,
1993-07,0.9,
1993-10,-0.3,
1994-01,-0.4,
1994-04,-1.3,
1994-07,0.2,
1994-10,0.7,
1995-01,0.0,
1995-04,-0.5,
1995-07,0.1,
1995-10,0.8,
1996-01,0.1,
1996-04,-0.5,
1996-07,0.7,
1996-10,4.1,
1997-01,2.4,
1997-04,0.9,
1997-07,3.9,
1997-10,0.6,
1998-01,2.1,
1998-04,4.8,
1998-07,-8.5,
1998-10,8.5,
1999-01,-1.6,
1999-04,0.8,
1999-07,-4.1,
1999-10,7.1,
2000-01,3.6,
2000-04,-0.3,
2000-07,5.6,
2000-10,3.5,
2001-01,-3.7,
2001-04,-8.5,
2001-07,4.3,
2001-10,1.1,
2002-01,-1.5,
2002-04,-1.2,
2002-07,3.9,
2002-10,-0.3,
2003-01,-2.2,
2003-04,3.2,
2003-07,0.6,
2003-10,0.3,
2004-01,1.4,
2004-04,3.1,
2004-07,-1.7,
2004-10,4.5,
2005-01,6.6,
2005-04,3.9,
2005-07,-4.6,
2005-10,3.4,
2006-01,5.4,
2006-04,-2.7,
2006-07,1.3,
2006-10,2.4,
2007-01,9.0,
2007-04,12.6,
2007-07,32.4,
2007-10,32.1,
2008-01,19.1,
2008-04,17.8,
2008-07,1.2,
2008-10,-7.6,
2009-01,-18.4,
2009-04,-0.4,
2009-07,6.8,
2009-10,0.7,
2010-01,4.1,
2010-04,6.3,
2010-07,7.5,
2010-10,-0.3,
2011-01,10.1,
2011-04,5.5,
2011-07,7.4,
2011-10,4.8,
2012-01,2.6,
2012-04,6.9,
2012-07,3.7,
2012-10,3.1,
2013-01,3.8,
2013-04,5.7,
2013-07,1.2,
2013-10,5.5,
2014-01,4.5,
