"",BBFB1.Q.N.DE.DK.S1.S1.T.B.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.DK.S1.S1.T.B.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Balance / Denmark,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:18,
1991-01,282.488,
1991-04,268.207,
1991-07,265.231,
1991-10,247.639,
1992-01,218.752,
1992-04,221.791,
1992-07,218.155,
1992-10,212.741,
1993-01,188.693,
1993-04,171.095,
1993-07,147.173,
1993-10,132.114,
1994-01,248.538,
1994-04,221.479,
1994-07,221.170,
1994-10,233.347,
1995-01,262.769,
1995-04,251.028,
1995-07,241.354,
1995-10,288.211,
1996-01,158.612,
1996-04,134.528,
1996-07,221.451,
1996-10,119.617,
1997-01,319.196,
1997-04,269.623,
1997-07,287.817,
1997-10,253.534,
1998-01,242.383,
1998-04,179.749,
1998-07,247.477,
1998-10,230.471,
1999-01,221.794,
1999-04,230.968,
1999-07,201.436,
1999-10,273.075,
2000-01,160.150,
2000-04,333.120,
2000-07,142.902,
2000-10,181.052,
2001-01,426.335,
2001-04,480.269,
2001-07,515.876,
2001-10,464.398,
2002-01,323.843,
2002-04,336.786,
2002-07,365.795,
2002-10,375.318,
2003-01,158.314,
2003-04,135.292,
2003-07,131.708,
2003-10,126.675,
2004-01,104.792,
2004-04,57.576,
2004-07,82.829,
2004-10,68.553,
2005-01,257.664,
2005-04,200.465,
2005-07,247.421,
2005-10,285.173,
2006-01,418.246,
2006-04,320.203,
2006-07,438.507,
2006-10,467.705,
2007-01,343.091,
2007-04,204.151,
2007-07,358.164,
2007-10,415.217,
2008-01,1069.044,
2008-04,226.645,
2008-07,143.056,
2008-10,433.611,
2009-01,415.083,
2009-04,288.581,
2009-07,299.516,
2009-10,222.270,
2010-01,377.716,
2010-04,436.801,
2010-07,347.935,
2010-10,348.157,
2011-01,560.206,
2011-04,467.351,
2011-07,524.552,
2011-10,514.185,
2012-01,569.360,
2012-04,392.575,
2012-07,533.642,
2012-10,531.589,
2013-01,540.847,
2013-04,431.656,
2013-07,473.356,
2013-10,540.106,
2014-01,511.971,Provisional value
2014-04,549.133,Provisional value
2014-07,473.048,Provisional value
