"",BBK01.OEBM03K,BBK01.OEBM03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:30,
2002-01,0.546,
2002-04,0.607,
2002-07,0.597,
2002-10,0.603,
2003-01,0.587,
2003-04,0.453,
2003-07,0.555,
2003-10,0.594,
2004-01,0.682,
2004-04,0.841,
2004-07,0.885,
2004-10,0.519,
2005-01,0.493,
2005-04,0.615,
2005-07,0.472,
2005-10,0.444,
2006-01,0.471,
2006-04,0.684,
2006-07,0.534,
2006-10,0.664,
2007-01,0.659,
2007-04,0.784,
2007-07,0.514,
2007-10,0.784,
2008-01,0.582,
2008-04,0.736,
2008-07,0.630,
2008-10,0.740,
2009-01,0.678,
2009-04,0.764,
2009-07,0.696,
2009-10,0.609,
2010-01,0.548,
2010-04,0.491,
2010-07,0.462,
2010-10,0.369,
2011-01,0.373,
2011-04,0.595,
2011-07,0.649,
2011-10,0.827,
2012-01,0.843,
2012-04,1.191,
2012-07,1.118,
2012-10,1.329,
2013-01,1.582,
2013-04,2.154,
2013-07,2.023,
2013-10,1.875,
2014-01,1.414,
2014-04,1.975,
2014-07,2.250,
