"",BBK01.OEAC33Q,BBK01.OEAC33Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:10,
2002-01,0.073,
2002-04,0.132,
2002-07,0.152,
2002-10,0.152,
2003-01,0.128,
2003-04,0.124,
2003-07,0.129,
2003-10,0.133,
2004-01,0.117,
2004-04,0.125,
2004-07,0.130,
2004-10,0.164,
2005-01,0.156,
2005-04,0.165,
2005-07,0.191,
2005-10,0.198,
2006-01,0.207,
2006-04,0.209,
2006-07,0.192,
2006-10,0.181,
2007-01,0.208,
2007-04,0.208,
2007-07,0.204,
2007-10,0.211,
2008-01,0.096,
2008-04,0.090,
2008-07,0.076,
2008-10,0.077,
2009-01,0.094,
2009-04,0.092,
2009-07,0.086,
2009-10,0.092,
2010-01,0.106,
2010-04,0.132,
2010-07,0.072,
2010-10,0.081,
2011-01,0.107,
2011-04,0.126,
2011-07,0.131,
2011-10,0.128,
2012-01,0.131,
2012-04,0.120,
2012-07,0.121,
2012-10,0.134,
2013-01,0.141,
2013-04,0.132,
2013-07,0.147,
2013-10,0.168,
2014-01,0.141,
2014-04,0.134,
2014-07,0.164,
