"",BBK01.TUB633,BBK01.TUB633_FLAGS
"",Liabilities to euro area residents in foreign currency / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:43:13,
2002-01,8,
2002-02,8,
2002-03,8,
2002-04,10,
2002-05,8,
2002-06,7,
2002-07,22,
2002-08,10,
2002-09,11,
2002-10,33,
2002-11,15,
2002-12,11,
2003-01,14,
2003-02,15,
2003-03,12,
2003-04,11,
2003-05,11,
2003-06,12,
2003-07,14,
2003-08,11,
2003-09,12,
2003-10,12,
2003-11,8,
2003-12,8,
2004-01,7,
2004-02,5,
2004-03,5,
2004-04,5,
2004-05,4,
2004-06,4,
2004-07,5,
2004-08,5,
2004-09,5,
2004-10,5,
2004-11,4,
2004-12,4,
2005-01,5,
2005-02,5,
2005-03,4,
2005-04,4,
2005-05,4,
2005-06,5,
2005-07,5,
2005-08,5,
2005-09,5,
2005-10,13,
2005-11,4,
2005-12,4,
2006-01,6,
2006-02,6,
2006-03,4,
2006-04,4,
2006-05,4,
2006-06,4,
2006-07,4,
2006-08,4,
2006-09,4,
2006-10,4,
2006-11,3,
2006-12,3,
2007-01,3,
2007-02,3,
2007-03,3,
2007-04,3,
2007-05,3,
2007-06,3,
2007-07,3,
2007-08,3,
2007-09,3,
2007-10,3,
2007-11,4,
2007-12,4,
2008-01,4,
2008-02,4,
2008-03,3,
2008-04,2,
2008-05,2,
2008-06,3,
2008-07,3,
2008-08,2,
2008-09,3,
2008-10,11925,
2008-11,13544,
2008-12,18401,
2009-01,13414,
2009-02,7569,
2009-03,12,
2009-04,21,
2009-05,67,
2009-06,8,
2009-07,16,
2009-08,9,
2009-09,4,
2009-10,41,
2009-11,21,
2009-12,36,
2010-01,5,
2010-02,0,
2010-03,11,
2010-04,6,
2010-05,36,
2010-06,19,
2010-07,7,
2010-08,18,
2010-09,10,
2010-10,13,
2010-11,12,
2010-12,15,
2011-01,15,
2011-02,15,
2011-03,19,
2011-04,21,
2011-05,21,
2011-06,11,
2011-07,11,
2011-08,11,
2011-09,12,
2011-10,13,
2011-11,13,
2011-12,7,
2012-01,6,
2012-02,6,
2012-03,7,
2012-04,4,
2012-05,3,
2012-06,6,
2012-07,9,
2012-08,7,
2012-09,10,
2012-10,3,
2012-11,3,
2012-12,3,
2013-01,9,
2013-02,3,
2013-03,3,
2013-04,3,
2013-05,3,
2013-06,4,
2013-07,3,
2013-08,3,
2013-09,3,
2013-10,4,
2013-11,3,
2013-12,1830,
2014-01,369,
2014-02,-14,
2014-03,3,
2014-04,2,
2014-05,2,
2014-06,2,
2014-07,1,
2014-08,1,
2014-09,4,
2014-10,13,
2014-11,12,
2014-12,34,
