"",BBK01.OEAE17K,BBK01.OEAE17K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:55,
2002-01,0.444,
2002-04,0.547,
2002-07,0.411,
2002-10,0.550,
2003-01,0.496,
2003-04,0.616,
2003-07,0.747,
2003-10,0.699,
2004-01,0.361,
2004-04,0.408,
2004-07,0.395,
2004-10,0.333,
2005-01,0.337,
2005-04,0.360,
2005-07,0.323,
2005-10,0.366,
2006-01,0.370,
2006-04,0.281,
2006-07,0.221,
2006-10,0.203,
2007-01,0.200,
2007-04,0.142,
2007-07,0.151,
2007-10,0.259,
2008-01,0.262,
2008-04,0.352,
2008-07,0.265,
2008-10,0.369,
2009-01,0.299,
2009-04,0.301,
2009-07,0.153,
2009-10,0.150,
2010-01,0.049,
2010-04,0.036,
2010-07,0.049,
2010-10,0.062,
2011-01,0.069,
2011-04,0.063,
2011-07,0.080,
2011-10,0.072,
2012-01,0.072,
2012-04,0.074,
2012-07,0.073,
2012-10,0.106,
2013-01,0.058,
2013-04,0.059,
2013-07,0.044,
2013-10,0.053,
2014-01,0.051,
2014-04,0.040,
2014-07,0.035,
