"",BBK01.OEXB18Q,BBK01.OEXB18Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:42,
2002-01,0.535,
2002-04,0.506,
2002-07,0.473,
2002-10,0.462,
2003-01,0.411,
2003-04,0.411,
2003-07,0.420,
2003-10,0.404,
2004-01,0.394,
2004-04,0.338,
2004-07,0.339,
2004-10,0.242,
2005-01,0.253,
2005-04,0.240,
2005-07,0.259,
2005-10,0.276,
2006-01,0.301,
2006-04,0.288,
2006-07,0.283,
2006-10,0.295,
2007-01,0.296,
2007-04,0.286,
2007-07,0.294,
2007-10,0.316,
2008-01,0.285,
2008-04,0.302,
2008-07,0.291,
2008-10,0.318,
2009-01,0.255,
2009-04,0.243,
2009-07,0.252,
2009-10,0.248,
2010-01,0.258,
2010-04,0.265,
2010-07,0.265,
2010-10,0.268,
2011-01,0.272,
2011-04,0.267,
2011-07,0.255,
2011-10,0.238,
2012-01,0.238,
2012-04,0.235,
2012-07,0.235,
2012-10,0.244,
2013-01,0.239,
2013-04,0.241,
2013-07,0.231,
2013-10,0.220,
2014-01,0.227,
2014-04,0.237,
2014-07,0.245,
