"",BBK01.OELL08H,BBK01.OELL08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:26,
2002-01,31.083,
2002-04,30.859,
2002-07,30.800,
2002-10,31.937,
2003-01,32.570,
2003-04,32.862,
2003-07,33.159,
2003-10,34.074,
2004-01,34.432,
2004-04,34.463,
2004-07,34.384,
2004-10,34.885,
2005-01,34.793,
2005-04,34.581,
2005-07,34.636,
2005-10,35.577,
2006-01,35.605,
2006-04,35.127,
2006-07,34.220,
2006-10,34.035,
2007-01,33.091,
2007-04,32.508,
2007-07,31.779,
2007-10,31.720,
2008-01,30.992,
2008-04,30.539,
2008-07,29.683,
2008-10,30.184,
2009-01,30.574,
2009-04,30.893,
2009-07,31.287,
2009-10,32.315,
2010-01,33.378,
2010-04,34.158,
2010-07,34.935,
2010-10,36.101,
2011-01,36.690,
2011-04,36.587,
2011-07,36.217,
2011-10,36.777,
2012-01,37.066,
2012-04,37.364,
2012-07,37.322,
2012-10,37.852,
2013-01,37.853,
2013-04,37.834,
2013-07,38.099,
2013-10,38.579,
2014-01,38.430,
2014-04,38.347,
2014-07,38.200,
