"",BBEX3.M.LTL.USD.CA.AC.A01,BBEX3.M.LTL.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Lithuania / USD 1 = LTL ... (middle) / up to December 2014,
unit,LTL (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:56,
1993-06,4.4000,
1993-07,4.0400,
1993-08,3.5700,
1993-09,4.1750,
1993-10,3.9500,
1993-11,3.9500,
1993-12,3.9050,
1994-01,3.9096,
1994-02,3.9056,
1994-03,3.9925,
1994-04,4.0000,comment
1994-05,4.0000,
1994-06,4.0000,
1994-07,4.0000,
1994-08,4.0000,
1994-09,4.0000,
1994-10,4.0000,
1994-11,4.0000,
1994-12,4.0000,
1995-01,4.0000,
1995-02,4.0000,
1995-03,4.0000,
1995-04,4.0000,
1995-05,4.0000,
1995-06,4.0000,
1995-07,4.0000,
1995-08,4.0000,
1995-09,4.0000,
1995-10,4.0000,
1995-11,4.0000,
1995-12,4.0000,
1996-01,4.0000,
1996-02,4.0000,
1996-03,4.0000,
1996-04,4.0000,
1996-05,4.0000,
1996-06,4.0000,
1996-07,4.0000,
1996-08,4.0000,
1996-09,4.0000,
1996-10,4.0000,
1996-11,4.0000,
1996-12,4.0000,
1997-01,4.0000,
1997-02,4.0000,
1997-03,4.0000,
1997-04,4.0000,
1997-05,4.0000,
1997-06,4.0000,
1997-07,4.0000,
1997-08,4.0000,
1997-09,4.0000,
1997-10,4.0000,
1997-11,4.0000,
1997-12,4.0000,
1998-01,4.0000,
1998-02,4.0000,
1998-03,4.0000,
1998-04,4.0000,
1998-05,4.0000,
1998-06,4.0000,
1998-07,4.0000,
1998-08,4.0000,
1998-09,4.0000,
1998-10,4.0000,
1998-11,4.0000,
1998-12,4.0000,
1999-01,4.0000,
1999-02,4.0000,
1999-03,4.0000,
1999-04,4.0000,
1999-05,4.0000,
1999-06,4.0000,
1999-07,4.0000,
1999-08,4.0000,
1999-09,4.0000,
1999-10,4.0000,
1999-11,4.0000,
1999-12,4.0000,
2000-01,4.0000,
2000-02,4.0000,
2000-03,4.0000,
2000-04,4.0000,
2000-05,4.0000,
2000-06,4.0000,
2000-07,4.0000,
2000-08,4.0000,
2000-09,4.0000,
2000-10,4.0000,
2000-11,4.0000,
2000-12,4.0000,
2001-01,4.0000,
2001-02,4.0000,
2001-03,4.0000,
2001-04,4.0000,
2001-05,4.0000,
2001-06,4.0000,
2001-07,4.0000,
2001-08,4.0000,
2001-09,4.0000,
2001-10,4.0000,
2001-11,4.0000,
2001-12,4.0000,
2002-01,4.0000,
2002-02,4.0007,comment
2002-03,3.9526,
2002-04,3.8279,
2002-05,3.6842,
2002-06,3.5077,
2002-07,3.5173,
2002-08,3.5043,
2002-09,3.5314,
2002-10,3.5111,
2002-11,3.4866,
2002-12,3.3114,
2003-01,3.1982,
2003-02,3.2010,
2003-03,3.2287,
2003-04,3.1482,
2003-05,2.9373,
2003-06,3.0196,
2003-07,3.0196,
2003-08,3.1816,
2003-09,3.0133,
2003-10,2.9587,
2003-11,2.8960,
2003-12,2.7621,
2004-01,2.7607,
2004-02,2.7635,
2004-03,2.8307,
2004-04,2.9218,
2004-05,2.8396,
2004-06,2.8375,
2004-07,2.8625,
2004-08,2.8731,
2004-09,2.8029,
2004-10,2.7114,
2004-11,2.6061,
2004-12,2.5345,
2005-01,2.6491,
2005-02,2.6161,
2005-03,2.6645,
2005-04,2.6719,
2005-05,2.7566,
2005-06,2.8679,
2005-07,2.8636,
2005-08,2.8250,
2005-09,2.8617,
2005-10,2.8422,
2005-11,2.9176,
2005-12,2.9102,
2006-01,2.8520,
2006-02,2.9117,
2006-03,2.8641,
2006-04,2.7728,
2006-05,2.6865,
2006-06,2.7529,
2006-07,2.7207,
2006-08,2.6890,
2006-09,2.7135,
2006-10,2.7137,
2006-11,2.6195,
2006-12,2.6304,
2007-01,2.6638,
2007-02,2.6219,
2007-03,2.5922,
2007-04,2.5303,
2007-05,2.5697,
2007-06,2.5642,
2007-07,2.5305,
2007-08,2.5279,
2007-09,2.4390,
2007-10,2.3979,
2007-11,2.3315,
2007-12,2.3572,
2008-01,2.3370,
2008-02,2.2869,
2008-03,2.1891,
2008-04,2.2124,
2008-05,2.2157,
2008-06,2.1938,
2008-07,2.2154,
2008-08,2.3338,
2008-09,2.3974,
2008-10,2.6148,
2008-11,2.6777,
2008-12,2.4507,
2009-01,2.6399,
2009-02,2.7150,
2009-03,2.6096,
2009-04,2.6194,
2009-05,2.4960,
2009-06,2.4643,
2009-07,2.4506,
2009-08,2.4090,
2009-09,2.3601,
2009-10,2.3435,
