"",BBK01.OEHB15H,BBK01.OEHB15H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:15,
2002-01,1.410,
2002-04,1.412,
2002-07,1.412,
2002-10,1.402,
2003-01,1.382,
2003-04,1.385,
2003-07,1.397,
2003-10,1.374,
2004-01,1.357,
2004-04,1.356,
2004-07,1.354,
2004-10,1.336,
2005-01,1.282,
2005-04,1.285,
2005-07,1.280,
2005-10,1.302,
2006-01,1.276,
2006-04,1.264,
2006-07,1.259,
2006-10,1.238,
2007-01,1.229,
2007-04,1.238,
2007-07,1.177,
2007-10,1.154,
2008-01,1.097,
2008-04,1.059,
2008-07,1.035,
2008-10,1.036,
2009-01,1.033,
2009-04,1.091,
2009-07,1.157,
2009-10,1.201,
2010-01,1.233,
2010-04,1.290,
2010-07,1.312,
2010-10,1.321,
2011-01,1.318,
2011-04,1.331,
2011-07,1.360,
2011-10,1.367,
2012-01,1.368,
2012-04,1.379,
2012-07,1.396,
2012-10,1.418,
2013-01,1.404,
2013-04,1.413,
2013-07,1.429,
2013-10,1.412,
2014-01,1.396,
2014-04,1.402,
2014-07,1.392,
