"",BBK01.BJ9073,BBK01.BJ9073_FLAGS
"",General government deficit / surplus as defined in the Maastricht Treaty - Germany - social security funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:53,
1991,10908,
1992,-1953,
1993,2563,
1994,1476,
1995,-7829,
1996,-7361,
1997,234,
1998,1249,
1999,3862,
2000,-1303,
2001,-5320,
2002,-7251,
2003,-7310,
2004,-1126,
2005,-5112,
2006,4322,
2007,10234,
2008,6419,
2009,-14448,
2010,3881,
2011,15441,Provisional value
2012,18263,Provisional value
2013,6116,Provisional value
2014,3369,Provisional value
