"",BBK01.OELL02S,BBK01.OELL02S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:49,
2002-01,0.957,
2002-04,0.969,
2002-07,0.993,
2002-10,1.040,
2003-01,1.049,
2003-04,1.048,
2003-07,1.036,
2003-10,1.063,
2004-01,1.059,
2004-04,1.077,
2004-07,1.078,
2004-10,1.093,
2005-01,1.060,
2005-04,1.063,
2005-07,1.073,
2005-10,1.106,
2006-01,1.102,
2006-04,1.091,
2006-07,1.086,
2006-10,1.116,
2007-01,1.115,
2007-04,1.125,
2007-07,1.157,
2007-10,1.169,
2008-01,1.190,
2008-04,1.211,
2008-07,1.160,
2008-10,1.243,
2009-01,1.284,
2009-04,1.349,
2009-07,1.415,
2009-10,1.444,
2010-01,1.501,
2010-04,1.543,
2010-07,1.582,
2010-10,1.653,
2011-01,1.607,
2011-04,1.620,
2011-07,1.626,
2011-10,1.746,
2012-01,1.740,
2012-04,1.785,
2012-07,1.849,
2012-10,1.923,
2013-01,1.940,
2013-04,1.968,
2013-07,1.987,
2013-10,2.043,
2014-01,1.984,
2014-04,2.021,
2014-07,2.067,
