"",BBK01.OECO04T,BBK01.OECO04T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:46,
2002-01,-0.029,
2002-04,-0.200,
2002-07,0.004,
2002-10,0.023,
2003-01,0.009,
2003-04,-0.003,
2003-07,0.025,
2003-10,-0.014,
2004-01,-0.005,
2004-04,-0.001,
2004-07,0.028,
2004-10,0.012,
2005-01,-0.009,
2005-04,-0.013,
2005-07,-0.010,
2005-10,-0.015,
2006-01,-0.020,
2006-04,-0.030,
2006-07,-0.031,
2006-10,-0.029,
2007-01,0.007,
2007-04,-0.009,
2007-07,-0.030,
2007-10,-0.008,
2008-01,-0.016,
2008-04,0.015,
2008-07,-0.030,
2008-10,-0.028,
2009-01,0.046,
2009-04,0.037,
2009-07,0.085,
2009-10,0.016,
2010-01,0.006,
2010-04,0.003,
2010-07,0.016,
2010-10,-0.001,
2011-01,-0.005,
2011-04,-0.042,
2011-07,-0.042,
2011-10,0.004,
2012-01,0.091,
2012-04,-0.029,
2012-07,0.006,
2012-10,0.039,
2013-01,-0.033,
2013-04,-0.016,
2013-07,-0.019,
2013-10,-0.014,
2014-01,-0.017,
2014-04,-0.022,
2014-07,0.042,
