"",BBSF2.M.1.T.00000.DRE01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DRE01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Bonds funds / Net asset value,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:37,
2009-09,4515,
2009-10,4486,
2009-11,4555,
2009-12,4588,
2010-01,4669,
2010-02,4792,
2010-03,5040,
2010-04,5154,
2010-05,5103,
2010-06,5072,
2010-07,5115,
2010-08,5213,
2010-09,5411,
2010-10,5571,
2010-11,5686,
2010-12,5838,
2011-01,5890,
2011-02,5940,
2011-03,5949,
2011-04,6020,
2011-05,6303,
2011-06,6293,
2011-07,6378,
2011-08,6258,
2011-09,6355,
2011-10,6618,
2011-11,6551,
2011-12,6781,
2012-01,7006,
2012-02,7152,
2012-03,7180,
2012-04,7192,
2012-05,7137,
2012-06,7280,
2012-07,7545,
2012-08,7499,
2012-09,7577,
2012-10,7556,
2012-11,7623,
2012-12,7754,
2013-01,7879,
2013-02,7940,
2013-03,8029,
2013-04,8292,
2013-05,8318,
2013-06,8017,
2013-07,8074,
2013-08,7900,
2013-09,8077,
2013-10,8249,
2013-11,8300,
2013-12,8313,
2014-01,8337,
2014-02,8422,
2014-03,8548,
2014-04,3301,
2014-05,3361,
2014-06,3392,
2014-07,3500,
2014-08,3546,
2014-09,3297,
2014-10,3321,
2014-11,3369,
