"",BBK01.OEXO04U,BBK01.OEXO04U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:03,
2002-01,-0.016,
2002-04,-0.028,
2002-07,-0.008,
2002-10,0.001,
2003-01,-0.023,
2003-04,-0.022,
2003-07,-0.014,
2003-10,0.003,
2004-01,-0.008,
2004-04,-0.030,
2004-07,-0.017,
2004-10,0.005,
2005-01,0.025,
2005-04,-0.010,
2005-07,-0.034,
2005-10,0.010,
2006-01,0.005,
2006-04,-0.002,
2006-07,-0.006,
2006-10,0.012,
2007-01,0.085,
2007-04,0.023,
2007-07,0.026,
2007-10,0.072,
2008-01,0.047,
2008-04,0.017,
2008-07,0.016,
2008-10,0.125,
2009-01,-0.026,
2009-04,-0.066,
2009-07,-,Nothing exists
2009-10,-0.052,
2010-01,-0.073,
2010-04,-0.025,
2010-07,-0.012,
2010-10,0.077,
2011-01,0.049,
2011-04,-0.002,
2011-07,-0.019,
2011-10,-0.017,
2012-01,-0.032,
2012-04,-0.003,
2012-07,0.003,
2012-10,-0.060,
2013-01,-0.057,
2013-04,-0.042,
2013-07,-0.013,
2013-10,-0.014,
2014-01,-0.014,
2014-04,-0.024,
2014-07,0.048,
