"",BBEX3.M.MZN.EUR.CA.AA.A01,BBEX3.M.MZN.EUR.CA.AA.A01_FLAGS
"",Exchange rates for the euro in Mozambique / EUR 1 = MZN ... (buying),
unit,MZN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:36,
2006-07,31.99,
2006-08,32.29,
2006-09,31.73,
2006-10,31.86,
2006-11,33.22,
2006-12,33.79,
2007-01,33.23,
2007-02,33.84,
2007-03,34.15,
2007-04,35.03,
2007-05,34.71,
2007-06,34.61,
2007-07,34.97,
2007-08,35.08,
2007-09,36.31,
2007-10,37.00,
2007-11,35.68,
2007-12,34.61,
2008-01,35.56,
2008-02,36.46,
2008-03,38.05,
2008-04,37.46,
2008-05,37.26,
2008-06,37.68,
2008-07,37.41,
2008-08,35.29,
2008-09,34.21,
2008-10,30.66,
2008-11,30.98,
2008-12,35.16,
2009-01,33.24,
2009-02,33.07,
2009-03,35.41,
2009-04,35.02,
2009-05,37.32,
2009-06,37.43,
2009-07,37.54,
2009-08,38.19,
2009-09,40.03,
2009-10,40.62,
2009-11,40.97,
2009-12,39.52,
2010-01,38.28,
2010-02,37.35,
2010-03,37.41,
2010-04,45.40,
2010-05,41.40,
2010-06,42.17,
2010-07,46.42,
2010-08,46.61,
2010-09,48.97,
2010-10,49.73,
2010-11,45.85,
2010-12,43.77,
2011-01,43.94,
2011-02,42.88,
2011-03,43.50,
2011-04,45.21,
2011-05,42.64,
2011-06,41.32,
2011-07,39.76,
2011-08,39.06,
2011-09,36.42,
2011-10,37.69,
2011-11,35.60,
2011-12,34.92,
2012-01,35.61,
2012-02,36.61,
2012-03,36.87,
2012-04,36.31,
2012-05,34.39,
2012-06,35.25,
2012-07,34.58,
2012-08,36.05,
2012-09,37.04,
2012-10,38.02,
2012-11,38.56,
2012-12,38.78,
2013-01,40.49,
2013-02,39.24,
2013-03,38.44,
2013-04,39.12,
2013-05,38.71,
2013-06,38.92,
2013-07,39.33,
2013-08,39.33,
2013-09,40.31,
2013-10,40.61,
2013-11,40.60,
2013-12,41.10,
2014-01,41.13,
2014-02,42.16,
2014-03,41.81,
2014-04,42.35,
2014-05,41.57,
2014-06,41.73,
2014-07,40.75,
2014-08,40.06,
2014-09,38.67,
2014-10,38.56,
2014-11,38.83,
2014-12,38.28,
2015-01,36.46,
"",General: Currency conversion with effect from 1 July 2006 at the rate of MZM 1000 (metical (old)) = MZN 1 (metical (new)). The currency conversion did not entail any appreciation or depreciation against other currencies.,
"","Source: Banco de Moçambique, Maputo.",
