"",BBQFS.M.US.CORP.PRICE_SP500._X.0000,BBQFS.M.US.CORP.PRICE_SP500._X.0000_FLAGS
"",Stock index S&P 500 (FSR 2014),
unit,,
unit multiplier,one,
last update,2015-01-07 17:09:22,
1999-01,1279.64,
1999-02,1238.33,
1999-03,1286.37,
1999-04,1335.18,
1999-05,1301.84,
1999-06,1372.71,
1999-07,1328.72,
1999-08,1320.41,
1999-09,1282.71,
1999-10,1362.93,
1999-11,1389.07,
1999-12,1469.25,
2000-01,1394.46,
2000-02,1366.42,
2000-03,1498.58,
2000-04,1468.25,
2000-05,1420.60,
2000-06,1454.60,
2000-07,1430.83,
2000-08,1517.68,
2000-09,1436.51,
2000-10,1429.40,
2000-11,1314.95,
2000-12,1320.28,
2001-01,1366.01,
2001-02,1239.94,
2001-03,1160.33,
2001-04,1249.46,
2001-05,1255.82,
2001-06,1224.38,
2001-07,1211.23,
2001-08,1133.58,
2001-09,1040.94,
2001-10,1059.78,
2001-11,1139.45,
2001-12,1148.08,
2002-01,1130.20,
2002-02,1106.73,
2002-03,1147.39,
2002-04,1076.92,
2002-05,1067.14,
2002-06,989.82,
2002-07,911.62,
2002-08,916.07,
2002-09,815.28,
2002-10,885.76,
2002-11,936.31,
2002-12,879.82,
2003-01,855.70,
2003-02,841.15,
2003-03,848.18,
2003-04,916.92,
2003-05,963.59,
2003-06,974.50,
2003-07,990.31,
2003-08,1008.01,
2003-09,995.97,
2003-10,1050.71,
2003-11,1058.20,
2003-12,1111.92,
2004-01,1131.13,
2004-02,1144.94,
2004-03,1126.21,
2004-04,1107.30,
2004-05,1120.68,
2004-06,1140.84,
2004-07,1101.72,
2004-08,1104.24,
2004-09,1114.58,
2004-10,1130.20,
2004-11,1173.82,
2004-12,1211.92,
2005-01,1181.27,
2005-02,1203.60,
2005-03,1180.59,
2005-04,1156.85,
2005-05,1191.50,
2005-06,1191.33,
2005-07,1234.18,
2005-08,1220.33,
2005-09,1228.81,
2005-10,1207.01,
2005-11,1249.48,
2005-12,1248.29,
2006-01,1280.08,
2006-02,1280.66,
2006-03,1294.83,
2006-04,1310.61,
2006-05,1270.09,
2006-06,1270.20,
2006-07,1276.66,
2006-08,1303.82,
2006-09,1335.85,
2006-10,1377.94,
2006-11,1400.63,
2006-12,1418.30,
2007-01,1438.24,
2007-02,1406.82,
2007-03,1420.86,
2007-04,1482.37,
2007-05,1530.62,
2007-06,1503.35,
2007-07,1455.27,
2007-08,1473.99,
2007-09,1526.75,
2007-10,1549.38,
2007-11,1481.14,
2007-12,1468.36,
2008-01,1378.55,
2008-02,1330.63,
2008-03,1322.70,
2008-04,1385.59,
2008-05,1400.38,
2008-06,1280.00,
2008-07,1267.38,
2008-08,1282.83,
2008-09,1166.36,
2008-10,968.75,
2008-11,896.24,
2008-12,903.25,
2009-01,825.88,
2009-02,735.09,
2009-03,797.87,
2009-04,872.81,
2009-05,919.14,
2009-06,919.32,
2009-07,987.48,
2009-08,1020.62,
2009-09,1057.08,
2009-10,1036.19,
2009-11,1095.63,
2009-12,1115.10,
2010-01,1073.87,
2010-02,1104.49,
2010-03,1169.43,
2010-04,1186.69,
2010-05,1089.41,
2010-06,1030.71,
2010-07,1101.60,
2010-08,1049.33,
2010-09,1141.20,
2010-10,1183.26,
2010-11,1180.55,
2010-12,1257.64,
2011-01,1286.12,
2011-02,1327.22,
2011-03,1325.83,
2011-04,1363.61,
2011-05,1345.20,
2011-06,1320.64,
2011-07,1292.28,
2011-08,1218.89,
2011-09,1131.42,
2011-10,1253.30,
2011-11,1246.96,
2011-12,1257.60,
2012-01,1312.41,
2012-02,1365.68,
2012-03,1408.47,
2012-04,1397.91,
2012-05,1310.33,
2012-06,1362.16,
2012-07,1379.32,
2012-08,1406.58,
2012-09,1440.67,
2012-10,1412.16,
2012-11,1416.18,
2012-12,1426.19,
2013-01,1498.11,
2013-02,1514.68,
2013-03,1569.19,
2013-04,1597.57,
2013-05,1630.74,
2013-06,1606.28,
2013-07,1685.73,
2013-08,1632.97,
2013-09,1681.55,
2013-10,1756.54,
2013-11,1805.81,
2013-12,1848.36,
2014-01,1782.59,
2014-02,1859.45,
2014-03,1872.34,
2014-04,1883.95,
2014-05,1923.57,
2014-06,1960.23,
2014-07,1930.67,
2014-08,2003.37,
2014-09,1972.29,
2014-10,2018.05,
"",Source: Bloomberg,
