"",BBK01.OELI06O,BBK01.OELI06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:00,
2002-01,1.527,
2002-04,1.532,
2002-07,1.517,
2002-10,1.584,
2003-01,1.525,
2003-04,1.482,
2003-07,1.425,
2003-10,1.371,
2004-01,1.302,
2004-04,1.276,
2004-07,1.272,
2004-10,1.270,
2005-01,1.226,
2005-04,1.213,
2005-07,1.164,
2005-10,1.121,
2006-01,1.096,
2006-04,1.100,
2006-07,1.111,
2006-10,1.083,
2007-01,1.087,
2007-04,1.083,
2007-07,1.143,
2007-10,1.131,
2008-01,1.091,
2008-04,1.048,
2008-07,0.983,
2008-10,1.034,
2009-01,1.006,
2009-04,0.993,
2009-07,1.055,
2009-10,1.156,
2010-01,1.233,
2010-04,1.245,
2010-07,1.252,
2010-10,1.264,
2011-01,1.319,
2011-04,1.364,
2011-07,1.388,
2011-10,1.360,
2012-01,1.356,
2012-04,1.319,
2012-07,1.238,
2012-10,1.174,
2013-01,1.085,
2013-04,1.029,
2013-07,0.968,
2013-10,0.867,
2014-01,0.795,
2014-04,0.754,
2014-07,0.713,
