"",BBK01.OECK04V,BBK01.OECK04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:09:02,
2002-01,0.186,
2002-04,0.178,
2002-07,0.174,
2002-10,0.178,
2003-01,0.173,
2003-04,0.169,
2003-07,0.169,
2003-10,0.175,
2004-01,0.198,
2004-04,0.171,
2004-07,0.176,
2004-10,0.173,
2005-01,0.170,
2005-04,0.180,
2005-07,0.154,
2005-10,0.161,
2006-01,0.146,
2006-04,0.156,
2006-07,0.150,
2006-10,0.175,
2007-01,0.180,
2007-04,0.198,
2007-07,0.240,
2007-10,0.266,
2008-01,0.282,
2008-04,0.268,
2008-07,0.287,
2008-10,0.282,
2009-01,0.211,
2009-04,0.187,
2009-07,0.150,
2009-10,0.127,
2010-01,0.097,
2010-04,0.084,
2010-07,0.065,
2010-10,0.064,
2011-01,0.074,
2011-04,0.078,
2011-07,0.072,
2011-10,0.079,
2012-01,0.064,
2012-04,0.803,
2012-07,0.786,
2012-10,0.774,
2013-01,0.773,
2013-04,0.772,
2013-07,0.768,
2013-10,0.768,
2014-01,0.770,
2014-04,0.768,
2014-07,0.767,
