"",BBK01.OEAO01Q,BBK01.OEAO01Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:56,
2002-01,15.667,
2002-04,15.429,
2002-07,15.126,
2002-10,15.226,
2003-01,15.519,
2003-04,15.437,
2003-07,15.240,
2003-10,15.440,
2004-01,15.516,
2004-04,15.186,
2004-07,14.987,
2004-10,14.994,
2005-01,16.656,
2005-04,16.582,
2005-07,16.417,
2005-10,16.203,
2006-01,16.026,
2006-04,15.929,
2006-07,15.745,
2006-10,15.499,
2007-01,15.374,
2007-04,15.271,
2007-07,15.064,
2007-10,14.722,
2008-01,14.901,
2008-04,14.756,
2008-07,14.653,
2008-10,14.492,
2009-01,15.171,
2009-04,15.582,
2009-07,15.839,
2009-10,16.105,
2010-01,16.393,
2010-04,16.599,
2010-07,16.734,
2010-10,16.843,
2011-01,17.219,
2011-04,17.265,
2011-07,17.116,
2011-10,17.028,
2012-01,17.270,
2012-04,17.544,
2012-07,17.511,
2012-10,17.519,
2013-01,17.616,
2013-04,17.471,
2013-07,17.405,
2013-10,17.250,
2014-01,17.329,
2014-04,17.319,
2014-07,17.162,
