"",BBFN1.M.DE.N.1.L.O1.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.O1.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Countries in Oceania,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:30:20,
1995-01,0.726,
1995-02,0.742,
1995-03,0.759,
1995-04,0.713,
1995-05,0.688,
1995-06,0.695,
1995-07,0.697,
1995-08,0.720,
1995-09,0.735,
1995-10,0.734,
1995-11,0.704,
1995-12,0.738,
1996-01,0.727,
1996-02,0.759,
1996-03,0.776,
1996-04,0.788,
1996-05,0.857,
1996-06,0.807,
1996-07,0.827,
1996-08,0.829,
1996-09,0.846,
1996-10,0.832,
1996-11,0.888,
1996-12,0.920,
1997-01,0.880,
1997-02,0.803,
1997-03,0.827,
1997-04,0.835,
1997-05,0.832,
1997-06,0.789,
1997-07,0.747,
1997-08,0.745,
1997-09,0.734,
1997-10,0.724,
1997-11,0.761,
1997-12,0.766,
1998-01,0.743,
1998-02,0.746,
1998-03,0.808,
1998-04,0.826,
1998-05,0.817,
1998-06,0.865,
1998-07,0.794,
1998-08,0.753,
1998-09,0.732,
1998-10,0.743,
1998-11,0.735,
1998-12,0.708,
1999-01,0.668,
1999-02,0.704,
1999-03,0.667,
1999-04,0.661,
1999-05,0.645,
1999-06,0.689,
1999-07,0.707,
1999-08,0.696,
1999-09,0.615,
1999-10,0.522,
1999-11,0.627,
1999-12,0.580,
2000-01,0.573,
2000-02,0.597,
2000-03,0.555,
2000-04,0.647,
2000-05,0.646,
2000-06,0.611,
2000-07,0.626,
2000-08,0.735,
2000-09,0.726,
2000-10,0.793,
2000-11,0.827,
2000-12,0.846,
2001-01,0.737,
2001-02,0.758,
2001-03,0.703,
2001-04,0.761,
2001-05,0.710,
2001-06,0.782,
2001-07,0.696,
2001-08,0.736,
2001-09,0.767,
2001-10,0.727,
2001-11,0.700,
2001-12,0.808,
2002-01,0.800,
2002-02,0.992,
2002-03,1.042,
2002-04,1.003,
2002-05,1.029,
2002-06,1.082,
2002-07,1.060,
2002-08,1.063,
2002-09,1.664,
2002-10,1.770,
2002-11,1.699,
2002-12,1.647,
2003-01,1.675,
2003-02,1.714,
2003-03,1.994,
2003-04,2.010,
2003-05,2.010,
2003-06,2.065,
2003-07,2.150,
2003-08,2.127,
2003-09,2.156,
2003-10,2.176,
2003-11,2.269,
2003-12,2.269,
2004-01,2.479,
2004-02,2.465,
2004-03,2.792,
2004-04,2.847,
2004-05,2.881,
2004-06,3.407,
2004-07,3.425,
2004-08,3.306,
2004-09,3.363,
2004-10,3.461,
2004-11,3.544,
2004-12,3.563,
2005-01,1.287,
2005-02,1.224,
2005-03,1.090,
2005-04,1.095,
2005-05,1.114,
2005-06,1.101,
2005-07,1.118,
2005-08,1.227,
2005-09,1.262,
2005-10,1.290,
2005-11,1.267,
2005-12,1.668,
2006-01,1.403,
2006-02,1.498,
2006-03,1.452,
2006-04,1.440,
2006-05,1.420,
2006-06,1.463,
2006-07,1.476,
2006-08,1.495,
2006-09,1.514,
2006-10,1.540,
2006-11,1.589,
2006-12,1.566,
2007-01,1.468,
2007-02,1.479,
2007-03,1.662,
2007-04,1.507,
2007-05,1.637,
2007-06,1.573,
2007-07,1.675,
2007-08,1.684,
2007-09,1.843,
2007-10,1.758,
2007-11,1.794,
2007-12,1.766,
2008-01,1.750,
2008-02,1.665,
2008-03,1.580,
2008-04,1.754,
2008-05,1.767,
2008-06,1.777,
2008-07,1.775,
2008-08,1.802,
2008-09,1.722,
2008-10,1.757,
2008-11,1.895,
2008-12,1.994,
2009-01,1.794,
2009-02,1.864,
2009-03,2.254,
2009-04,1.939,
2009-05,2.010,
2009-06,1.957,
2009-07,2.014,
2009-08,2.084,
2009-09,2.048,
2009-10,2.170,
2009-11,2.127,
2009-12,2.132,
2010-01,2.093,
2010-02,2.196,
2010-03,2.187,
2010-04,1.988,
2010-05,2.269,
2010-06,2.398,
2010-07,2.428,
2010-08,2.474,
2010-09,2.544,
2010-10,2.558,
2010-11,2.614,
2010-12,2.646,
2011-01,2.233,
2011-02,2.249,
2011-03,2.243,
2011-04,2.163,
2011-05,2.278,
2011-06,2.665,
2011-07,2.414,
2011-08,2.504,
2011-09,2.707,
2011-10,2.661,
2011-11,2.586,
2011-12,2.644,
2012-01,2.516,
2012-02,2.724,
2012-03,2.707,
2012-04,2.534,
2012-05,2.488,
2012-06,2.730,
2012-07,2.727,
2012-08,2.747,
2012-09,2.745,
2012-10,2.760,
2012-11,2.726,
2012-12,2.846,
2013-01,2.845,
2013-02,2.907,
2013-03,2.776,
2013-04,2.768,
2013-05,2.557,
2013-06,2.808,
2013-07,2.632,
2013-08,2.475,
2013-09,2.634,
2013-10,2.453,
2013-11,2.299,
2013-12,2.355,
2014-01,2.131,
2014-02,2.244,
2014-03,2.303,
2014-04,2.212,
2014-05,2.186,
2014-06,2.360,
2014-07,2.488,
2014-08,2.449,
2014-09,2.627,
2014-10,2.551,
2014-11,2.470,
2014-12,2.799,
