"",BBSF2.M.1.S.I0123.REN01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0123.REN01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Sales receipts / Other financial intermediaries / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:12,
2009-09,16,
2009-10,63,
2009-11,35,
2009-12,893,
2010-01,902,
2010-02,467,
2010-03,28,
2010-04,302,
2010-05,135,
2010-06,105,
2010-07,460,
2010-08,58,
2010-09,101,
2010-10,1469,
2010-11,81,
2010-12,1106,
2011-01,85,
2011-02,687,
2011-03,2,
2011-04,330,
2011-05,41,
2011-06,1,
2011-07,20,
2011-08,45,
2011-09,45,
2011-10,444,
2011-11,430,
2011-12,1120,
2012-01,491,
2012-02,18,
2012-03,135,
2012-04,439,
2012-05,258,
2012-06,316,
2012-07,17,
2012-08,32,
2012-09,111,
2012-10,147,
2012-11,229,
2012-12,712,
2013-01,514,
2013-02,320,
2013-03,100,
2013-04,67,
2013-05,35,
2013-06,26,
2013-07,374,
2013-08,28,
2013-09,63,
2013-10,22,
2013-11,3236,
2013-12,3076,
2014-01,59,
2014-02,236,
2014-03,59,
2014-04,8,
2014-05,57,
2014-06,8,
2014-07,656,
2014-08,737,
2014-09,913,
2014-10,1620,
2014-11,771,
