"",BBK01.OEXO02Q,BBK01.OEXO02Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:02,
2002-01,0.445,
2002-04,0.370,
2002-07,0.379,
2002-10,0.400,
2003-01,0.510,
2003-04,0.388,
2003-07,0.398,
2003-10,0.375,
2004-01,0.424,
2004-04,0.293,
2004-07,0.282,
2004-10,0.214,
2005-01,0.256,
2005-04,0.205,
2005-07,0.204,
2005-10,0.236,
2006-01,0.295,
2006-04,0.262,
2006-07,0.257,
2006-10,0.300,
2007-01,0.502,
2007-04,0.382,
2007-07,0.362,
2007-10,0.429,
2008-01,0.445,
2008-04,0.363,
2008-07,0.442,
2008-10,0.796,
2009-01,0.464,
2009-04,0.400,
2009-07,0.407,
2009-10,0.345,
2010-01,0.312,
2010-04,0.253,
2010-07,0.214,
2010-10,0.430,
2011-01,0.447,
2011-04,0.297,
2011-07,0.258,
2011-10,0.279,
2012-01,0.300,
2012-04,0.240,
2012-07,0.252,
2012-10,0.257,
2013-01,0.201,
2013-04,0.178,
2013-07,0.179,
2013-10,0.171,
2014-01,0.203,
2014-04,0.172,
2014-07,0.273,
