"",BBK01.OEAH46Q,BBK01.OEAH46Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:14,
2002-01,1.087,
2002-04,1.038,
2002-07,1.018,
2002-10,1.003,
2003-01,0.932,
2003-04,0.871,
2003-07,0.827,
2003-10,0.821,
2004-01,0.789,
2004-04,0.729,
2004-07,0.746,
2004-10,0.823,
2005-01,0.897,
2005-04,0.706,
2005-07,0.700,
2005-10,0.672,
2006-01,0.747,
2006-04,0.823,
2006-07,0.943,
2006-10,1.063,
2007-01,1.123,
2007-04,1.157,
2007-07,1.310,
2007-10,1.473,
2008-01,1.467,
2008-04,1.482,
2008-07,1.632,
2008-10,1.578,
2009-01,0.867,
2009-04,0.673,
2009-07,0.580,
2009-10,0.434,
2010-01,0.381,
2010-04,0.347,
2010-07,0.317,
2010-10,0.393,
2011-01,0.380,
2011-04,0.418,
2011-07,0.397,
2011-10,0.369,
2012-01,0.370,
2012-04,0.322,
2012-07,0.275,
2012-10,0.247,
2013-01,0.229,
2013-04,0.216,
2013-07,0.222,
2013-10,0.233,
2014-01,0.223,
2014-04,0.224,
2014-07,0.218,
