"",BBK01.OEAM07T,BBK01.OEAM07T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:53,
2002-01,0.011,
2002-04,0.011,
2002-07,0.010,
2002-10,0.012,
2003-01,0.010,
2003-04,0.019,
2003-07,0.024,
2003-10,0.015,
2004-01,0.014,
2004-04,0.022,
2004-07,0.021,
2004-10,0.018,
2005-01,0.019,
2005-04,0.017,
2005-07,0.018,
2005-10,0.020,
2006-01,0.024,
2006-04,0.024,
2006-07,0.024,
2006-10,0.024,
2007-01,0.025,
2007-04,0.026,
2007-07,0.024,
2007-10,0.016,
2008-01,0.015,
2008-04,0.015,
2008-07,0.015,
2008-10,0.015,
2009-01,0.041,
2009-04,0.062,
2009-07,0.125,
2009-10,0.121,
2010-01,0.108,
2010-04,0.131,
2010-07,0.130,
2010-10,0.125,
2011-01,0.121,
2011-04,0.082,
2011-07,0.057,
2011-10,0.054,
2012-01,0.032,
2012-04,0.024,
2012-07,0.028,
2012-10,0.033,
2013-01,0.032,
2013-04,0.029,
2013-07,0.025,
2013-10,0.027,
2014-01,0.016,
2014-04,0.017,
2014-07,0.015,
