"",BBK01.OEHI07O,BBK01.OEHI07O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:05,
2002-01,16.276,
2002-04,16.116,
2002-07,15.997,
2002-10,16.347,
2003-01,16.346,
2003-04,16.288,
2003-07,16.150,
2003-10,16.390,
2004-01,16.300,
2004-04,16.090,
2004-07,15.955,
2004-10,16.273,
2005-01,16.228,
2005-04,16.051,
2005-07,15.904,
2005-10,16.132,
2006-01,16.001,
2006-04,15.802,
2006-07,15.455,
2006-10,15.298,
2007-01,14.600,
2007-04,14.033,
2007-07,13.479,
2007-10,13.115,
2008-01,12.566,
2008-04,12.077,
2008-07,11.617,
2008-10,11.528,
2009-01,12.038,
2009-04,12.821,
2009-07,13.446,
2009-10,14.115,
2010-01,14.529,
2010-04,14.669,
2010-07,14.807,
2010-10,14.957,
2011-01,14.966,
2011-04,14.848,
2011-07,14.650,
2011-10,14.615,
2012-01,14.441,
2012-04,14.219,
2012-07,14.106,
2012-10,14.181,
2013-01,14.146,
2013-04,14.072,
2013-07,13.982,
2013-10,14.146,
2014-01,14.003,
2014-04,13.872,
2014-07,13.741,
