"",BBEX3.M.XOF.USD.CA.AC.A01,BBEX3.M.XOF.USD.CA.AC.A01_FLAGS
"",Exchange rates (comparable rates)  for the US dollar in the West African Economic and Monetary Union * / USD 1 = XOF ... (middle),
unit,XOF (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:22:20,
1999-01,576.210,
1999-02,595.350,
1999-03,610.647,
1999-04,619.003,
1999-05,627.350,
1999-06,635.125,
1999-07,613.388,
1999-08,620.408,
1999-09,615.056,
1999-10,627.530,
1999-11,649.655,
1999-12,652.953,
2000-01,669.959,
2000-02,675.270,
2000-03,686.650,
2000-04,722.022,
2000-05,705.103,
2000-06,686.435,
2000-07,709.680,
2000-08,736.534,
2000-09,748.382,
2000-10,779.324,
2000-11,755.363,
2000-12,704.951,
2001-01,705.861,
2001-02,709.296,
2001-03,742.705,
2001-04,739.023,
2001-05,773.534,
2001-06,773.534,
2001-07,749.237,
2001-08,716.267,
2001-09,718.385,
2001-10,725.456,
2001-11,737.196,
2001-12,744.306,
2002-01,759.473,
2002-02,758.244,
2002-03,751.899,
2002-04,728.194,
2002-05,698.793,
2002-06,657.601,
2002-07,670.507,
2002-08,667.098,
2002-09,665.271,
2002-10,665.001,
2002-11,660.781,
2002-12,625.495,
2003-01,606.469,
2003-02,608.382,
2003-03,602.072,
2003-04,589.306,
2003-05,554.861,
2003-06,574.041,
2003-07,579.570,
2003-08,600.308,
2003-09,562.957,
2003-10,564.410,
2003-11,546.904,
2003-12,519.364,
2004-01,529.681,
2004-02,528.231,
2004-03,536.614,
2004-04,549.056,
2004-05,537.758,
2004-06,539.660,
2004-07,544.860,
2004-08,541.621,
2004-09,528.614,
2004-10,515.001,
2004-11,493.386,
2004-12,481.578,
2005-01,503.227,
2005-02,494.800,
2005-03,505.983,
2005-04,506.257,
2005-05,531.958,
2005-06,542.472,
2005-07,542.427,
2005-08,537.758,
2005-09,544.724,
2005-10,545.585,
2005-11,557.360,
2005-12,556.037,
2006-01,541.308,
2006-02,552.385,
2006-03,541.934,
2006-04,523.217,
2006-05,509.758,
2006-06,515.973,
2006-07,513.791,
2006-08,510.433,
2006-09,518.133,
2006-10,516.664,
2006-11,496.937,
2006-12,498.069,
2007-01,506.374,
2007-02,496.523,
2007-03,492.534,
2007-04,482.144,
2007-05,487.592,
2007-06,485.714,
2007-07,478.556,
2007-08,478.626,
2007-09,462.626,
2007-10,454.044,
2007-11,444.385,
2007-12,445.593,
2008-01,441.128,
2008-02,432.490,
2008-03,414.848,
2008-04,422.109,
2008-05,422.980,
2008-06,416.111,
2008-07,420.189,
2008-08,445.169,
2008-09,458.615,
2008-10,514.194,
2008-11,515.406,
2008-12,471.335,
2009-01,511.827,
2009-02,518.789,
2009-03,492.904,
2009-04,494.130,
2009-05,465.284,
2009-06,464.099,
2009-07,463.967,
2009-08,459.611,
2009-09,447.966,
2009-10,443.214,
2009-11,436.635,
2009-12,455.336,
2010-01,469.681,
2010-02,483.388,
2010-03,486.651,
2010-04,492.645,
2010-05,532.995,
2010-06,534.559,
2010-07,503.498,
2010-08,517.316,
2010-09,480.625,
2010-10,473.376,
2010-11,504.660,
2010-12,490.912,
2011-01,479.080,
2011-02,474.163,
2011-03,461.714,
2011-04,441.425,
2011-05,456.001,
2011-06,453.855,
2011-07,459.998,
2011-08,453.949,
2011-09,485.786,
2011-10,468.507,
2011-11,488.863,
2011-12,506.961,
2012-01,497.842,
2012-02,487.954,
2012-03,491.133,
2012-04,496.411,
2012-05,528.870,
2012-06,521.014,
2012-07,533.993,
2012-08,520.147,
2012-09,507.314,
2012-10,504.854,
2012-11,505.126,
2012-12,497.163,
2013-01,484.101,
2013-02,499.624,
2013-03,512.266,
2013-04,501.803,
2013-05,504.350,
2013-06,501.496,
2013-07,494.130,
2013-08,495.623,
2013-09,485.714,
2013-10,480.872,
2013-11,481.932,
2013-12,475.641,
2014-01,485.319,
2014-02,474.884,
2014-03,475.745,
2014-04,473.615,
2014-05,482.073,
2014-06,480.273,
2014-07,490.289,
2014-08,497.389,
2014-09,521.304,
2014-10,523.760,
2014-11,525.480,
2014-12,540.283,
2015-01,580.236,
"","General: * Benin, Burkina Faso, Côte d'Ivoire, Guinea-Bissau, Mali, Niger, Senegal and Togo all belong to the West African Economic and Monetary Union (UEMOA = Union Économique et Monétaire Ouest Africaine). The responsible monetary authority is the ""Banque Centrale des Etats de l'Afrique de l'Ouest"", whose CFA franc (F.CFA = Franc de la Communauté Financière Africaine) is legal tender only in the aforementioned countries.  Fixed exchange rate to the euro.",
"",Source: Banque Centrale des Etats de l'Afrique de l'Ouest,
"",Methodology: We do not have any data on US dollar exchange rates; the comparable rates were calculated on the basis of the exchange rate for the euro in the West African Economic and Monetary Union (EUR 1 = XOF 655.957) in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.,
