"",BBK01.BQM008,BBK01.BQM008_FLAGS
"",General government debt - of which loans - of which short-term,
unit,eur (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-16 16:34:36,
2000-01,29182,
2000-04,22167,
2000-07,33516,
2000-10,17698,
2001-01,32154,
2001-04,21443,
2001-07,22670,
2001-10,24916,
2002-01,41832,
2002-04,25574,
2002-07,22971,
2002-10,30092,
2003-01,35023,
2003-04,37715,
2003-07,47175,
2003-10,39260,
2004-01,51788,
2004-04,44737,
2004-07,44180,
2004-10,41036,
2005-01,51242,
2005-04,50185,
2005-07,53706,
2005-10,46686,
2006-01,58661,
2006-04,56456,
2006-07,65749,
2006-10,52575,
2007-01,68589,
2007-04,72637,
2007-07,67958,
2007-10,55165,
2008-01,70467,
2008-04,75860,
2008-07,65965,
2008-10,75447,
2009-01,71735,
2009-04,64635,
2009-07,70496,
2009-10,64071,
2010-01,63506,Provisional value
2010-04,72959,Provisional value
2010-07,74417,Provisional value
2010-10,233738,Provisional value
2011-01,211944,Provisional value
2011-04,193919,Provisional value
2011-07,190390,Provisional value
2011-10,197671,Provisional value
2012-01,179566,Provisional value
2012-04,189434,Provisional value
2012-07,171831,Provisional value
2012-10,155068,Provisional value
2013-01,135276,Provisional value
2013-04,135227,Provisional value
2013-07,118654,Provisional value
2013-10,126701,Provisional value
2014-01,114670,Provisional value
2014-04,115811,Provisional value
2014-07,115592,Provisional value
