"",BBK01.OEXL06O,BBK01.OEXL06O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:22,
2002-01,-0.684,
2002-04,-0.666,
2002-07,-0.543,
2002-10,-0.204,
2003-01,-0.133,
2003-04,-0.103,
2003-07,-0.069,
2003-10,-0.039,
2004-01,0.027,
2004-04,0.039,
2004-07,0.053,
2004-10,0.056,
2005-01,0.068,
2005-04,0.068,
2005-07,0.075,
2005-10,0.078,
2006-01,0.076,
2006-04,0.058,
2006-07,0.065,
2006-10,0.069,
2007-01,0.071,
2007-04,0.077,
2007-07,0.078,
2007-10,0.091,
2008-01,0.110,
2008-04,0.128,
2008-07,0.138,
2008-10,0.165,
2009-01,0.200,
2009-04,0.177,
2009-07,0.167,
2009-10,0.150,
2010-01,0.168,
2010-04,0.207,
2010-07,0.234,
2010-10,0.254,
2011-01,0.275,
2011-04,0.304,
2011-07,0.325,
2011-10,0.312,
2012-01,0.298,
2012-04,0.305,
2012-07,0.299,
2012-10,0.276,
2013-01,0.236,
2013-04,0.196,
2013-07,0.185,
2013-10,0.176,
2014-01,0.167,
2014-04,0.147,
2014-07,0.125,
