"",BBK01.OEBI02P,BBK01.OEBI02P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:21,
2002-01,0.818,
2002-04,0.770,
2002-07,0.932,
2002-10,0.806,
2003-01,0.946,
2003-04,0.853,
2003-07,0.810,
2003-10,0.879,
2004-01,0.794,
2004-04,0.816,
2004-07,0.881,
2004-10,1.086,
2005-01,1.036,
2005-04,1.198,
2005-07,1.218,
2005-10,1.144,
2006-01,1.070,
2006-04,1.053,
2006-07,0.961,
2006-10,1.052,
2007-01,0.986,
2007-04,1.009,
2007-07,1.129,
2007-10,1.179,
2008-01,1.060,
2008-04,1.069,
2008-07,1.092,
2008-10,1.339,
2009-01,1.544,
2009-04,1.478,
2009-07,1.672,
2009-10,1.883,
2010-01,1.755,
2010-04,2.083,
2010-07,2.085,
2010-10,2.108,
2011-01,1.867,
2011-04,1.917,
2011-07,1.977,
2011-10,2.144,
2012-01,2.059,
2012-04,2.179,
2012-07,2.005,
2012-10,2.268,
2013-01,2.089,
2013-04,1.979,
2013-07,2.023,
2013-10,2.074,
2014-01,2.075,
2014-04,2.015,
2014-07,1.960,
