"",BBFN1.M.DE.N.1.A.TW.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.TW.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"","Short-term claims of enterprises on non-residents arising from financial operations / Total / China, Taiwan",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:25:13,
1975-12,0.002,
1976-01,0.002,
1976-02,0.002,
1976-03,0.001,
1976-04,0.001,
1976-05,0.001,
1976-06,0.002,
1976-07,0.002,
1976-08,0.002,
1976-09,0.002,
1976-10,0.002,
1976-11,0.002,
1976-12,0.002,
1977-01,0.002,
1977-02,0.002,
1977-03,0.002,
1977-04,0.002,
1977-05,0.002,
1977-06,0.002,
1977-07,0.002,
1977-08,0.002,
1977-09,0.002,
1977-10,0.002,
1977-11,0.002,
1977-12,0.002,
1978-01,0.002,
1978-02,0.002,
1978-03,0.003,
1978-04,0.002,
1978-05,0.002,
1978-06,0.002,
1978-07,0.002,
1978-08,0.002,
1978-09,0.002,
1978-10,0.002,
1978-11,0.002,
1978-12,0.002,
1979-01,0.002,
1979-02,0.002,
1979-03,0.002,
1979-04,0.002,
1979-05,0.002,
1979-06,0.002,
1979-07,0.002,
1979-08,0.002,
1979-09,0.002,
1979-10,0.002,
1979-11,0.002,
1979-12,0.002,
1980-01,0.002,
1980-02,0.002,
1980-03,0.002,
1980-04,0.002,
1980-05,0.002,
1980-06,0.002,
1980-07,0.002,
1980-08,0.002,
1980-09,0.002,
1980-10,0.002,
1980-11,0.002,
1980-12,0.002,
1981-01,0.003,
1981-02,0.003,
1981-03,0.003,
1981-04,0.003,
1981-05,0.003,
1981-06,0.003,
1981-07,0.004,
1981-08,0.006,
1981-09,0.007,
1981-10,0.003,
1981-11,0.004,
1981-12,0.004,
1982-01,0.004,
1982-02,0.005,
1982-03,0.005,
1982-04,0.003,
1982-05,0.002,
1982-06,0.003,
1982-07,0.004,
1982-08,0.003,
1982-09,0.004,
1982-10,0.004,
1982-11,0.004,
1982-12,0.004,
1983-01,0.006,
1983-02,0.005,
1983-03,0.006,
1983-04,0.005,
1983-05,0.004,
1983-06,0.006,
1983-07,0.005,
1983-08,0.005,
1983-09,0.007,
1983-10,0.007,
1983-11,0.006,
1983-12,0.006,
1984-01,0.004,
1984-02,0.007,
1984-03,0.005,
1984-04,0.009,
1984-05,0.009,
1984-06,0.009,
1984-07,0.008,
1984-08,0.011,
1984-09,0.012,
1984-10,0.011,
1984-11,0.011,
1984-12,0.008,
1985-01,0.012,
1985-02,0.017,
1985-03,0.013,
1985-04,0.021,
1985-05,0.016,
1985-06,0.022,
1985-07,0.026,
1985-08,0.038,
1985-09,0.035,
1985-10,0.016,
1985-11,0.013,
1985-12,0.017,
1986-01,0.025,
1986-02,0.035,
1986-03,0.041,
1986-04,0.047,
1986-05,0.057,
1986-06,0.023,
1986-07,0.018,
1986-08,0.014,
1986-09,0.015,
1986-10,0.005,
1986-11,0.006,
1986-12,0.006,
1987-01,0.007,
1987-02,0.006,
1987-03,0.005,
1987-04,0.005,
1987-05,0.006,
1987-06,0.006,
1987-07,0.008,
1987-08,0.008,
1987-09,0.008,
1987-10,0.009,
1987-11,0.009,
1987-12,0.007,
1988-01,0.009,
1988-02,0.009,
1988-03,0.008,
1988-04,0.008,
1988-05,0.009,
1988-06,0.010,
1988-07,0.009,
1988-08,0.009,
1988-09,0.010,
1988-10,0.008,
1988-11,0.009,
1988-12,0.011,
1989-01,0.009,
1989-02,0.012,
1989-03,0.010,
1989-04,0.010,
1989-05,0.011,
1989-06,0.011,
1989-07,0.011,
1989-08,0.016,
1989-09,0.016,
1989-10,0.012,
1989-11,0.011,
1989-12,0.013,
1990-01,0.014,
1990-02,0.014,
1990-03,0.012,
1990-04,0.013,
1990-05,0.014,
1990-06,0.014,
1990-07,0.020,
1990-08,0.021,
1990-09,0.022,
1990-10,0.021,
1990-11,0.019,
1990-12,0.016,
1991-01,0.015,
1991-02,0.020,
1991-03,0.020,
1991-04,0.020,
1991-05,0.019,
1991-06,0.019,
1991-07,0.025,
1991-08,0.021,
1991-09,0.018,
1991-10,0.018,
1991-11,0.018,
1991-12,0.020,
1992-01,0.017,
1992-02,0.017,
1992-03,0.018,
1992-04,0.024,
1992-05,0.031,
1992-06,0.031,
1992-07,0.029,
1992-08,0.029,
1992-09,0.019,
1992-10,0.020,
1992-11,0.023,
1992-12,0.020,
1993-01,0.022,
1993-02,0.024,
1993-03,0.033,
1993-04,0.038,
1993-05,0.036,
1993-06,0.039,
1993-07,0.022,
1993-08,0.031,
1993-09,0.030,
1993-10,0.034,
1993-11,0.032,
1993-12,0.035,
1994-01,0.036,
1994-02,0.043,
1994-03,0.049,
1994-04,0.042,
1994-05,0.052,
1994-06,0.062,
1994-07,0.044,
1994-08,0.055,
1994-09,0.053,
1994-10,0.059,
1994-11,0.069,
1994-12,0.064,
1995-01,0.057,
1995-02,0.055,
1995-03,0.063,
1995-04,0.063,
1995-05,0.070,
1995-06,0.075,
1995-07,0.073,
1995-08,0.087,
1995-09,0.072,
1995-10,0.059,
1995-11,0.065,
1995-12,0.066,
1996-01,0.121,
1996-02,0.062,
1996-03,0.063,
1996-04,0.072,
1996-05,0.067,
1996-06,0.075,
1996-07,0.069,
1996-08,0.067,
1996-09,0.072,
1996-10,0.069,
1996-11,0.066,
1996-12,0.088,
1997-01,0.088,
1997-02,0.089,
1997-03,0.081,
1997-04,0.084,
1997-05,0.082,
1997-06,0.108,
1997-07,0.120,
1997-08,0.109,
1997-09,0.118,
1997-10,0.115,
1997-11,0.207,
1997-12,0.215,
1998-01,0.218,
1998-02,0.248,
1998-03,0.207,
1998-04,0.212,
1998-05,0.215,
1998-06,0.212,
1998-07,0.218,
1998-08,0.214,
1998-09,0.115,
1998-10,0.211,
1998-11,0.174,
1998-12,0.293,
1999-01,0.292,
1999-02,0.313,
1999-03,0.220,
1999-04,0.328,
1999-05,0.151,
1999-06,0.160,
1999-07,0.144,
1999-08,0.153,
1999-09,0.132,
1999-10,0.138,
1999-11,0.143,
1999-12,0.157,
2000-01,0.146,
2000-02,0.155,
2000-03,0.157,
2000-04,0.171,
2000-05,0.162,
2000-06,0.171,
2000-07,0.170,
2000-08,0.164,
2000-09,0.149,
2000-10,0.139,
2000-11,0.139,
2000-12,0.063,
2001-01,0.064,
2001-02,0.064,
2001-03,0.075,
2001-04,0.080,
2001-05,0.055,
2001-06,0.058,
2001-07,0.061,
2001-08,0.092,
2001-09,0.087,
2001-10,0.096,
2001-11,0.086,
2001-12,0.091,
2002-01,0.098,
2002-02,0.087,
2002-03,0.095,
2002-04,0.106,
2002-05,0.105,
2002-06,0.102,
2002-07,0.111,
2002-08,0.112,
2002-09,0.108,
2002-10,0.090,
2002-11,0.090,
2002-12,0.108,
2003-01,0.091,
2003-02,0.099,
2003-03,0.097,
2003-04,0.100,
2003-05,0.092,
2003-06,0.085,
2003-07,0.195,
2003-08,0.335,
2003-09,0.279,
2003-10,0.234,
2003-11,0.234,
2003-12,0.076,
2004-01,0.115,
2004-02,0.145,
2004-03,0.157,
2004-04,0.116,
2004-05,0.134,
2004-06,0.118,
2004-07,0.107,
2004-08,0.106,
2004-09,0.110,
2004-10,0.116,
2004-11,0.106,
2004-12,0.116,
2005-01,0.124,
2005-02,0.136,
2005-03,0.124,
2005-04,0.197,
2005-05,0.175,
2005-06,0.167,
2005-07,0.165,
2005-08,0.167,
2005-09,0.158,
2005-10,0.155,
2005-11,0.174,
2005-12,0.150,
2006-01,0.139,
